Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
Arthroplasty Today,Arthroplast Today,,2352-3441,Elsevier,101681808,v.4(1);Mar 2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3043/
"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",Asia Pac J Sports Med Arthrosc Rehabil Technol,,2214-6873,"Asia-Pacific Knee, Arthroscopy and Sports Medicine Society",101648546,v.11;Jan 2018,v.2;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3352/
Asian Journal of Urology,Asian J Urol,2214-3882,2214-3890,Second Military Medical University,101699720,v.5(1);Jan 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3358/
Australasian Journal of Ultrasound in Medicine,Australas J Ultrasound Med,1836-6864,2205-0140,Australasian Society for Ultrasound in Medicine,101583539,v.18(4);Nov 2015,v.12;2009,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2742/
Biochimie Open,Biochim Open,,2214-0085,Elsevier,101706117,v.5;Dec 2017,v.3;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3370/
Bioengineering &#x0026; Translational Medicine,Bioeng Transl Med,,2380-6761,Wiley-Blackwell,101689146,v.3(1);Jan 2018,v.1;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3332/
Biomedicines,Biomedicines,,2227-9059,Multidisciplinary Digital Publishing Institute  (MDPI),101691304,v.5(4);Dec 2017,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3168/
BJPsych International,BJPsych Int,2056-4740,2058-6264,Royal College of Psychiatrists,101654173,v.14(4);Nov 2017,v.12;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3218/
Blood Advances,Blood Adv,2473-9529,2473-9537,American Society of Hematology,101698425,"v.2(5);Mar 13, 2018",v.1;2016,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3318/
BMJ Open Ophthalmology,BMJ Open Ophthalmol,,2397-3269,BMJ Publishing Group,101714806,v.2(1);2017,v.1;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3334/
BMJ Open Quality,BMJ Open Qual,,2399-6641,BMJ Publishing Group,101710381,v.7(1);2018,v.6;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3259/
Bulletin - British Association of Sport and Medicine,Bull Br Assoc Sport Med,0306-3690,,BMJ Publishing Group,432521,v.3(4);1968,v.1;1964,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/189/
Cardiac Failure Review,Card Fail Rev,2057-7540,2057-7559,Radcliffe Cardiology,101696210,v.3(2);Nov 2017,v.1;2015,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3220/
Child Neurology Open,Child Neurol Open,,2329-048X,SAGE Publications,101691975,v.5;2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3184/
Chronic Diseases and Translational Medicine,Chronic Dis Transl Med,2095-882X,2589-0514,Chinese Medical Association,101679934,v.3(4);Dec 2017,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3302/
Tzu-Chi Medical Journal,Ci Ji Yi Xue Za Zhi,1016-3190,2223-8956,Wolters Kluwer/Medknow Publications,9514171,v.29(4);Oct-Dec 2017,v.28;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3224/
Clinical and Experimental Hepatology,Clin Exp Hepatol,2392-1099,2449-8238,Termedia Publishing,101703431,v.3(4);Dec 2017,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3191/
Clinical Nephrology. Case Studies,Clin Nephrol Case Stud,,2196-5293,Dustri-Verlag,101638685,v.6;2018,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3217/
Contraception and Reproductive Medicine,Contracept Reprod Med,,2055-7426,BioMed Central,101703414,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3341/
Dentistry Journal,Dent J (Basel),,2304-6767,Multidisciplinary Digital Publishing Institute  (MDPI),101716125,v.5(4);Dec 2017,v.3;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3384/
Designed Monomers and Polymers,Des Monomers Polym,1385-772X,1568-5551,Taylor &#x0026; Francis,101239706,v.21(1);2018,v.20;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3375/
Disaster and Military Medicine,Disaster Mil Med,,2054-314X,BioMed Central,101684519,v.3;2017,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3095/
EFORT Open Reviews,EFORT Open Rev,,2058-5241,British Editorial Society of Bone and Joint Surgery,101695674,v.2(12);Dec 2017,v.1;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3182/
EJVES Short Reports,EJVES Short Rep,,2405-6553,Elsevier,101695075,v.38;2018,v.30;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3282/
Epidemiology and Community Health,Epidemiol Community Health,0142-467X,,BMJ Publishing Group,7907645,v.33(1);Mar 1979,v.33;1979,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/166/
ESMO Open,ESMO Open,,2059-7029,ESMO and BMJ,101690685,v.3(3);2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3084/
European Journal of Breast Health,Eur J Breast Health,,2587-0831,Turkish Federation of Breast Diseases Societies,101709357,v.14(1);Jan 2018,v.13;2017,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3255/
Euroasian Journal of Hepato-Gastroenterology,Euroasian J Hepatogastroenterol,2231-5047,2231-5128,Jaypee Brothers Medical Publishing (P) Ltd.,101577625,v.7(2);Jul-Dec 2017,v.4;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3197/
GE Portuguese Journal of Gastroenterology,GE Port J Gastroenterol,2341-4545,2387-1954,Karger Publishers,101685861,v.25(1);Jan 2018,v.22;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3213/
GeroScience,GeroScience,2509-2715,2509-2723,Springer,101686284,v.40(1);Feb 2018,v.39;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3153/
Global Health Research and Policy,Glob Health Res Policy,,2397-0642,BioMed Central,101705789,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3342/
Hematology Reviews,Hematol Rev,,1970-6790,PAGEPress,101558655,"v.1(2);Jul 1, 2009",v.1;2009,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1727/
Hepatology Communications,Hepatol Commun,,2471-254X,Wiley-Blackwell,101695860,v.2(3);Mar 2018,v.1;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3345/
High-Throughput,High Throughput,,2571-5135,Multidisciplinary Digital Publishing Institute  (MDPI),101712192,v.6(4);Dec 2017,v.6;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3380/
The Hospital and Health Review,Hosp Health Rev,0268-3571,,Institute of Healthcare Management,12040,v.3(39);Dec 1924,v.1;1921,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2449/
International Journal of Retina and Vitreous,Int J Retina Vitreous,,2056-9920,BioMed Central,101677897,v.4;2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3093/
Integrative Medicine Research,Integr Med Res,2213-4220,2213-4239,Korea Institute of Oriental Medicine,101612707,v.6(4);Dec 2017,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3186/
Journal of Bone and Joint Infection,J Bone Jt Infect,,2206-3552,Ivyspring International Publisher,101701849,v.3(1);2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3193/
The Journal of Breast Health,J Breast Health,1306-0945,1306-0953,Turkish Federation of Breast Diseases Societies,101549103,v.13(2);Apr 2017,v.10;2014,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/3175/
Journal of Cardiovascular Echography,J Cardiovasc Echogr,2211-4122,2347-193X,Wolters Kluwer - Medknow,101562228,v.27(4);Oct-Dec 2017,v.23;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3138/
Journal of Circulating Biomarkers,J Circ Biomark,,1849-4544,SAGE Publications,101703517,v.7;Jan-Dec 2018,v.4;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3256/
Journal of Comorbidity,J Comorb,,2235-042X,Swiss Medical Press GmbH,101693146,v.8(1);2018,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3242/
Journal of Dental Anesthesia and Pain Medicine,J Dent Anesth Pain Med,2383-9309,2383-9317,Korean Dental Society of Anesthesiology,101690691,v.18(1);Feb 2018,v.15;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3248/
Journal of Dental Biomaterials,J Dent Biomater,2383-3971,2383-398X,Shiraz University of Medical Sciences,101657341,v.4(2);Jun 2017,v.3;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3258/
Journal of the Endocrine Society,J Endocr Soc,,2472-1972,The Endocrine Society,101697997,"v.2(2);Feb 1, 2018",v.1;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3254/
Journal of General and Family Medicine,J Gen Fam Med,2189-6577,2189-7948,Wiley-Blackwell,101689875,v.19(1);Jan 2018,v.18;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3333/
Journal of the Intensive Care Society,J Intensive Care Soc,1751-1437,2057-360X,SAGE Publications,101538668,v.19(1);Feb 2018,v.16;2015,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3253/
Journal of Istanbul University Faculty of Dentistry,J Istanb Univ Fac Dent,2149-2352,2149-4592,Istanbul University Faculty of Dentistry,101700975,v.51(3);2017,v.49;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3250/
Journal of Kidney Cancer and VHL,J Kidney Cancer VHL,,2203-5826,Codon Publications,101695919,v.5(1);2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3165/
Journal of Medical Biochemistry,J Med Biochem,1452-8258,1452-8266,De Gruyter Open,101315490,"v.36(2);Apr 1, 2017",v.34;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3012/
Journal of Medical Education and Curricular Development,J Med Educ Curric Dev,,2382-1205,SAGE Publications,101690298,v.5;Jan-Dec 2018,v.3;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3338/
Journal of Nephropharmacology,J Nephropharmacol,,2345-4202,Society of Diabetic Nephropathy Prevention,101679372,v.6(1);2017,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3152/
Journal of Patient Experience,J Patient Exp,2374-3735,2374-3743,SAGE Publications,101688338,v.4(4);Dec 2017,v.1;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3237/
"Journal of Psychological Medicine and Mental Pathology (London, England : 1848)",J Psychol Med Ment Pathol,,,Biomedical Journal Digitization Project,14204,"v.13(20);Oct 1, 1860",v.1;1848,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2461/
"Journal of Psychological Medicine and Mental Pathology (London, England : 1875)",J Psychol Med Ment Pathol (Lond),,,Biomedical Journal Digitization Project,101237329,v.8(Pt 2);Jan 1883,v.1;1875,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2463/
Journal of the Royal Society of Medicine,J R Soc Med,0141-0768,1758-1095,Royal Society of Medicine Press,7802879,v.111(3);Mar 2018,v.71;1978,36 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/256/
Journal of Translational Internal Medicine,J Transl Int Med,2450-131X,2224-4018,De Gruyter Open,101673826,v.5(4);Dec 2017,v.3;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2970/
Journal of Vascular Surgery Cases and Innovative Techniques,J Vasc Surg Cases Innov Tech,,2468-4287,Elsevier,101701125,v.4(1);Mar 2018,v.3;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3372/
Journal of Visualized Surgery,J Vis Surg,,2221-2965,AME Publications,101677561,v.4;2018,v.1;2015,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3300/
JFMS Open Reports,JFMS Open Rep,,2055-1169,SAGE Publications,101672978,v.4(1);Jan-Jun 2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3150/
JMIR Rehabilitation and Assistive Technologies,JMIR Rehabil Assist Technol,,2369-2529,JMIR Publications Inc.,101703412,v.5(1);Jan-Jun 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3231/
Kansas Journal of Medicine,Kans J Med,,1948-2035,University of Kansas Medical Center,101581958,v.10(4);Nov 2017,v.10;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3353/
Laryngoscope Investigative Otolaryngology,Laryngoscope Investig Otolaryngol,0023-852X,2378-8038,Wiley-Blackwell,101684963,v.3(1);Feb 2018,v.1;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3208/
The London Medical Journal,Lond Med J,0952-4177,,Biomedical Journal Digitization Project,15370,v.11(Pt 4);1790,v.1;1781,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2818/
"Medico-Chirurgical Journal; or, Quarterly Register of Medical and Surgical Science",Med Chir J,,,Biomedical Journal Digitization Project,16577,"v.2(8);Apr 1, 1820",v.1;1818,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2854/
The Medico-Chirurgical Journal and Review,Med Chir J Rev,,,Biomedical Journal Digitization Project,16576,v.5(30);Jun 1818,v.1;1816,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2855/
Medical Critic and Psychological Journal,Med Crit Psychol J,,,Biomedical Journal Digitization Project,17372,v.3(12);Oct 1863,v.1;1861,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2462/
Medical Facts and Observations,Med Facts Obs,0952-4185,,Biomedical Journal Digitization Project,17416,v.8;1800,v.1;1791,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2819/
Mental Welfare,Ment Welf,,,National Association for Mental Health,18640690R,v.20(4);Oct 1939,v.6;1925,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2473/
Nanotheranostics,Nanotheranostics,,2206-7418,Ivyspring International Publisher,101698994,v.2(1);2018,v.1;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3314/
NMC Case Report Journal,NMC Case Rep J,,2188-4226,"Scientific Journal Publishing Dept.,  Medical Tribune, Inc.",101692589,v.5(1);Jan 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3170/
Archives of Neuropsychiatry,Noro Psikiyatr Ars,1300-0667,1309-4866,Turkish Neuropsychiatric Society,9426194,v.54(4);Dec 2017,v.50;2013,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3158/
Northern Clinics of Istanbul,North Clin Istanb,,2536-4553,Istanbul Northern Anatolian Association of Public Hospitals,101684520,v.4(3);2017,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3119/
NPJ Microgravity,NPJ Microgravity,,2373-8065,Nature Publishing Group,101703605,v.4;2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3205/
NPJ Regenerative Medicine,NPJ Regen Med,,2057-3995,Nature Publishing Group,101699846,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3330/
NPJ Vaccines,NPJ Vaccines,,2059-0105,Nature Publishing Group,101699863,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3297/
Open Access Journal of Contraception,Open Access J Contracept,,1179-1527,Dove Press,101700100,v.9;2018,v.6;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3312/
Open Medicine,Open Med (Wars),,2391-5463,De Gruyter Open,101672167,v.13;2018,v.10;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2976/
PharmacoEconomics Open,Pharmacoecon Open,2509-4262,2509-4254,Springer,101700780,v.1(4);Dec 2017,v.1;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3284/
Physical Therapy Research,Phys Ther Res,,2189-8448,Japanese Physical Therapy Association,101700769,v.20(2);2017,v.19;2016,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3163/
Porcine Health Management,Porcine Health Manag,,2055-5660,BioMed Central,101684126,v.4;2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3183/
Practical Laboratory Medicine,Pract Lab Med,,2352-5517,Elsevier,101690848,v.10;Mar 2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3283/
Psoriasis: Targets and Therapy,Psoriasis (Auckl),,2230-326X,Dove Press,101709086,v.8;2018,v.5;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3311/
The Psychological Clinic,Psychol Clin,,,Biomedical Journal Digitization Project,24034,v.23(1-2);Jan-Jun 1935,v.1;1907,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2446/
Rand Health Quarterly,Rand Health Q,,2162-8254,The RAND Corporation,101622976,v.7(2);Jan 2018,v.1;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2861/
Research Involvement and Engagement,Res Involv Engagem,,2056-7529,BioMed Central,101708164,v.4;2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3292/
Romanian Journal of Anaesthesia and Intensive Care,Rom J Anaesth Intensive Care,2392-7518,2502-0307,Romanian Society of Anaesthesia and Intensive Care,101681752,v.24(2);Oct 2017,v.21;2014,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3238/
Scandinavian Journal of Food &#x0026; Nutrition,Scand J Food Nutr,1748-2976,1748-2984,Taylor &#x0026; Francis,101280719,v.51(4);Dec 2007,v.51;2007,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/827/
Studies in Mental Inefficiency,Stud Ment Ineffic,,,National Association for Mental Health,21020330R,"v.5(4);Oct 15, 1924",v.1;1920,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2472/
The Surgery Journal,Surg J (N Y),2378-5128,2378-5136,Thieme Medical Publishers,101695022,v.4(1);Jan 2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3143/
Transactions. Epidemiological Society of London,Trans Epidemiol Soc Lond,,,Biomedical Journal Digitization Project,16810040R,v.26;1907,v.1;1860,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2477/
Translational Gastroenterology and Hepatology,Transl Gastroenterol Hepatol,,2415-1289,AME Publications,101683450,v.3;2018,v.1;2016,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3147/
Turkish Archives of Otorhinolaryngology,Turk Arch Otorhinolaryngol,2149-3987,2149-553X,Turkish Otorhinolaryngology Head and Neck Surgery Society,101682806,v.55(4);Dec 2017,v.53;2015,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3348/
Turkish Journal of Obstetrics and Gynecology,Turk J Obstet Gynecol,2149-9322,2149-9330,Turkish Society of Obstetrics and Gynecology,101656661,v.14(4);Dec 2017,v.11;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3260/
Turkish Journal of Surgery,Turk J Surg,2564-6850,2564-7032,Turkish Surgical Association,101704837,v.33(4);2017,v.33;2017,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3226/
Turkish Thoracic Journal,Turk Thorac J,2148-7197,2149-2530,Turkish Thoracic Society,101648545,v.19(1);Jan 2018,v.16;2015,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3325/
Wellcome Open Research,Wellcome Open Res,,2398-502X,The Wellcome Trust,101696457,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3196/
World Journal of Otorhinolaryngology - Head and Neck Surgery,World J Otorhinolaryngol Head Neck Surg,2095-8811,2589-1081,KeAi Publishing,101690857,v.3(3);Sep 2017,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3346/
Zoological Research,Zool Res,2095-8137,,"Editorial Office of Zoological Research, Kunming Institute of Zoology, The Chinese Academy of Sciences",101697192,"v.38(6);Nov 18, 2017",v.37;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2884/
