issns	existing_issn	Q		
2559-902X,0015-542X	0015-542X	1006144
1573-1170,0015-5551	0015-5551	5863479
1803-6465,0015-5683	0015-5683	15755868
1469-8315,0015-587X	0015-587X	27715794
1882-1006,0015-6426	0015-6426	26867048
0971-7625,0015-7325	0015-7325	24908300
1499-9315,0015-7546	0015-7546	15749714
1439-0337,0015-8003	0015-8003	15754302
2185-4610,0016-2590	0016-2590	15751004
2109-9642,0016-4127	0016-4127	15762215
1438-8804,0016-5751	0016-5751	26841999
2160-0228,0016-6928	0016-6928	15758743
1880-5973,0016-7002	0016-7002	15759667
1903-2471,0016-7223	0016-7223	27719111
2300-7362,0016-7282	0016-7282	15816918
2185-1719,0016-7444	0016-7444	27718629
2041-479X,0016-7649	0016-7649	3186960
1573-9708,0016-7746	0016-7746	15756021
1432-1149,0016-7835	0016-7835	27714954
2235-1523,0016-8998	0016-8998	27710998
2412-0650,0016-9900	0016-9900	27711004
2507-0401,0017-0461	0017-0461	15746714
2196-9043,0017-1298	0017-1298	1532225
1433-0393,0017-5994	0017-5994	1194076
1568-5594,0017-6559	0017-6559	27711038
1867-1535,0017-9604	0017-9604	1029592
1894-3195,0017-9841	0017-9841	11052884
1472-3441,0018-1544	0018-1544	26839692
2153-6414,0018-2133	0018-2133	5898711
1573-6865,0018-2214	0018-2214	24056063
2309-8392,0018-229X	0018-229X	27722316
2196-680X,0018-2613	0018-2613	315571
2083-599X,0018-3040	2083-599X	50815348
2101-0226,0018-4306	0018-4306	15759637
1939-9278,0018-5868	0018-5868	24031401
1958-5551,0018-6368	0018-6368	43459214
2271-1791,0018-7372	0018-7372	15708758
2195-0237,0018-9855	0018-9855	15708627
0019-0810,0019-0829	0019-0810	5974843
2498-6208,0019-1442	0019-1442	1095759
1884-0051,0019-4344	0019-4344	15816820
0975-007X,0019-4506	0019-4506	15766520
0973-0893,0019-4646	0019-4646	6020249
0019-5138,2394-7047	0019-5138	27711504
2199-7411,0019-5294	0019-5294	15764863
0019-5308,0971-7927	0019-5308	15749677
0973-7707,0019-5421	0019-5421	27720533
0973-7693,0019-5456	0019-5456	26842079
0974-9845,0019-5480	0974-9845	27724965
0975-7465,0019-5588	0019-5588	15290546
0974-7559,0019-6061	0019-6061	15757481
1541-5724,0019-7866	0019-7866	27723208
2162-271X,0019-7939	0019-7939	6027812
1777-5876,0020-0093	0020-0093	27718436
1952-4056,0020-0204	0020-0204	27711236
1439-4200,0020-0336	0020-0336	27711235
2421-0404,0020-0697	0020-0697	15751528
1522-709X,0020-6652	0020-6652	15752051
2052-465X,0020-7020	0020-7020	15754609
1568-5187,0020-7152	0020-7152	6051347
1878-4658,0020-7187	0020-7187	15754955
2050-4578,0020-7209	0020-7209	15752421
1543-5245,0020-7454	0020-7454	6051511
1557-9336,0020-7659	0020-7659	20979728
1465-2102,0020-7713	0020-7713	26827892
2504-2580,0020-8272	0020-8272	7002585
0973-0702,0020-8817	0020-8817	15755035
2520-2456,0020-8868	0020-8868	15752550
1522-2632,0020-9309	1522-2632	15749873
2053-4744,0021-0889	0021-0889	15761734
2056-4139,0021-1214	0021-1214	15757850
2047-2153,0021-1427	0021-1427	15764179
1883-2954,0021-1575	0021-1575	15746383
1613-0928,0021-1818	1613-0928	5261162
1869-5868,0021-2148	0021-2148	3155650
2047-9336,0021-2237	0021-2237	12403262
2412-8783,0021-3438	0021-3438	15763348
2185-8896,0021-3551	0021-3551	2203661
2366-049X,0021-4027	0021-4027	1678629
1880-7577,0021-4795	0021-4795	27719473
1348-673X,0021-4868	0021-4868	13733206
1880-6880,0021-4876	0021-4876	15746398
1882-4110,0021-4930	0021-4930	26842176
2186-3075,0021-5015	0021-5015	15751841
1882-6482,0021-5082	0021-5082	26842454
1884-2828,0021-5112	0021-5112	26842254
2186-1579,0021-5163	0021-5163	27711816
1881-1396,0021-521X	0021-521X	45115254
1884-1082,0021-5236	0021-5236	15751842
1881-1442,0021-5295	0021-5295	27711829
1347-1597,0021-7298	0021-7298	47487058
1095-9246,0021-8634	0021-8634	1895843
1465-5922,0021-8774	0021-8774	15763699
2078-6913,0021-8839	0021-8839	15766714
1934-998X,0021-8871	0021-8871	26839868
1097-4636,0021-9304	0021-9304	6294852
1537-5374,0021-9398	0021-9398	7743558
1541-5732,0021-9576	0021-9576	27711423
1881-1299,0021-9592	0021-9592	15759347
2152-4068,0022-0485	0022-0485	6295118
1097-010X,0022-104X	0022-104X	26842574
1097-010X,0022-104X	0022-104X	26842574
0975-8402,0022-1155	0022-1155	15750183
2185-5765,0022-1392	0022-1392	15754883
1471-8505,0022-1503	0022-1503	6295280
1814-2079,0022-1686	0022-1686	15751336
2056-6689,0022-2097	0022-2097	15750751
2058-3389,0022-2542	0022-2542	29043952
2053-7395,0022-2917	0022-2917	15765545
2167-6437,0022-2984	0022-2984	6295633
1097-4695,0022-3034	0022-3034	15716734
1881-1248,0022-3131	0022-3131	15764082
2348-621X,0022-3174	0022-3174	27717889
2042-7158,0022-3573	0022-3573	10532762
1884-2305,0022-3743	0022-3743	15754883
2163-6184,0022-4677	0022-4677	27711755
1572-8943,0022-5215	1572-8943	599850
1759-3999,0022-5266	0022-5266	15755920
1612-7064,0022-6920	0022-6920	1713995
1897-4279,0022-9032	0022-9032	2775982
1504-3002,0023-186X	0023-186X	10545771
2051-6177,0023-1940	0023-1940	15756523
2412-1339,0023-2149	0023-2149	27711850
2520-1778,0019-4670	0019-4670	15755186
2522-1396,0023-2130	0023-2130	27711849
1849-2177,0024-3477	0024-3477	27711902
2407-3733,0126-0421	2407-3733	50817439
2571-6662,0020-5915	0020-5915	26839570
2571-788X,0003-3189	0003-3189	27708995
2571-6638,1011-6966	1011-6966	27711247
2159-6417,0022-2216	0022-2216	15764733
2313-6294,0042-4609	0042-4609	27713778
2526-1347,0101-4366	0101-4366	27716274
0975-3397,2229-5631	0975-3397	15817742
2330-135X,0047-4134	0047-4134	15745353
2209-0916,1030-8385	1030-8385	15766687
1884-8079,0023-2556	0023-2556	15752370
1738-0006,0023-4001	0023-4001	21385511
1521-4079,0023-4753	1521-4079	15749990
2300-195X,0023-5172	0023-5172	11750972
1805-949X,0023-5954	0023-5954	15751631
1670-4959,0023-7213	0023-7213	26842530
1297-9694,0023-7302	0023-7302	15752727
1703-8804,0023-9054	0023-9054	15760472
2185-1352,0024-1008	0024-1008	27711897
2295-8991,0024-1415	0024-1415	15756667
2159-9610,0024-2527	0024-2527	15761884
1234-5678,0024-6115	0024-6115	6087100
1504-3061,0024-6980	0024-6980	11986853
2197-3849,0024-7421	0024-7421	1877757
1920-6356,0024-9041	0024-9041	3428669
2354-9114,0024-9521	0024-9521	15817705
2031-0226,0025-2603	0025-2603	2277967
2049-680X,0025-3359	0025-3359	3293267
2305-0667,0025-4606	0025-4606	15756820
2056-6328,0025-5572	0025-5572	7750656
2305-2880,0025-567X	0025-567X	6786833
1578-8989,0025-7753	0025-7753	26854009
2042-1818,0025-8024	0025-8024	15757954
1492-1421,0026-0452	0026-0452	15813961
2186-9057,0026-1165	0026-1165	15762340
2281-695X,0026-1424	0026-1424	15760960
2167-8634,0026-2005	0026-2005	15762274
2329-3233,0026-3184	0026-3184	15755836
2162-4372,0026-6493	0026-6493	2530335
1568-525X,0026-7074	0026-7074	1941227
2222-4319,0026-7937	0026-7937	6888740
1432-1874,0026-8925	0026-8925	15753424
1433-0474,0026-9298	0026-9298	1762971
2366-1968,0026-9301	0026-9301	1944088
1938-2987,0027-4100	0027-4100	21385585
0027-6014,1559-5455	0027-6014	15817768
2152-6842,0027-7630	0027-7630	15490097
1521-3803,0027-769X	0027-769X	15751861
1542-7811,0027-9013	0027-9013	27716116
1929-3208,0028-0798	0028-0798	948624
1504-3118,0028-0887	0028-0887	4045080
2161-4296,0028-1522	0028-1522	15816566
1338-4317,0028-2685	0028-2685	15761100
1568-542X,0028-2960	0028-2960	4764767
1175-8775,0028-8233	0028-8233	2293843
1175-8643,0028-825X	0028-825X	2531394
2199-4714,0028-8276	0028-8276	15755203
1175-8791,0028-8306	0028-8306	15754426
1175-8805,0028-8330	0028-8330	15765162
1884-0779,0029-0424	0029-0424	15753382
1884-2984,0029-0432	0029-0432	15753406
2186-506X,0029-0661	0029-0661	7039642
2224-7955,0029-1277	0029-1277	15749230
1504-2987,0029-2052	0029-2052	11992501
2047-7236,0029-4586	0029-4586	15758718
2406-4726,0029-4845	0029-4845	15754064
2300-2115,0029-540X	0029-540X	27712321
2047-9018,0029-6570	0029-6570	3346488
1561-5529,0029-7054	0029-7054	27718415
2307-2970,0029-9316	0029-9316	303922
2471-9390,0030-0950	0030-0950	15767108
1881-1736,0030-154X	0030-154X	26842095
2219-0635,0030-2465	0030-2465	15753261
2371-4654,0030-2953	0030-2953	15767540
1097-458X,0030-4921	1097-458X	3277097
2157-8745,0030-5316	0030-5316	15754251
2196-6877,0030-5383	0030-5383	15816826
2213-8617,0030-5472	0030-5472	3885813
2518-1882,0030-5987	0030-5987	26841816
2300-8423,0030-6657	0030-6657	11801015
2043-6866,0030-7270	0030-7270	2530656
2338-4786,0030-9311	0030-9311	27712531
2274-0333,0031-0247	0031-0247	21385709
2272-7639,0031-0387	0031-0387	15762524
1807-0205,0031-1049	0031-1049	15716698
2169-8546,0031-4587	0031-4587	15709983
2386-5822,0031-4749	0031-4749	15767480
1532-5962,0031-5117	0031-5117	15762491
1849-0964,0031-5362	0031-5362	15757808
1878-9080,0031-5850	0031-5850	2417375
1096-9063,0031-613X	0031-613X	1828807
2196-7008,0031-7985	0031-7985	1248438
1439-2607,0031-8027	0031-8027	15762115
2352-8230,0031-8035	0031-8035	7186166
2194-5845,0031-8175	0031-8175	2088297
1521-396X,0031-8965	0031-8965	2465041
1521-396X,0031-8965	0031-8965	2465041
1521-3943,0031-9252	0031-9252	2089412
1899-8526,0032-6267	0032-6267	15766156
2195-8599,0032-678X	0032-678X	15760075
2271-197X,0032-7638	0032-7638	3409088
1016-7365,0032-8332	0032-8332	7243201
1555-6425,0032-9452	0032-9452	15761376
1608-327X,0033-1732	0033-1732	15760048
2300-8466,0033-2143	0033-2143	15817336
2450-9361,0033-2356	0033-2356	4047496
2510-4187,0033-2623	0033-2623	15759541
2391-5854,0033-2674	0033-2674	11830678
2163-3452,0033-2933	0033-2933	15761787
0974-9861,0033-2968	0033-2968	25099420
2190-6238,0033-3042	0033-3042	1250962
2197-9952,0033-3131	0033-3131	15765928
1420-9136,0033-4533	1420-9136	15752511
1946-7214,0033-5649	0033-5649	26854016
1469-8994,0033-5835	0033-5835	2361372
2193-3405,0033-8230	0033-8230	2126419
1826-6983,0033-8362	0033-8362	26842258
1573-9120,0033-8443	0033-8443	2384706
1869-4179,0034-0111	0034-0111	27718361
2104-3884,0034-1258	0034-1258	3421968
1705-6225,0034-1282	0034-1282	27716635
2337-8824,0034-365X	0034-365X	6104807
1437-5613,0034-5466	0034-5466	29573668
2052-9449,0034-6373	0034-6373	15710137
2211-4866,0034-673X	0034-673X	15762047
2526-0375,0034-723X	0034-723X	27718877
1984-3747,0034-7272	0034-7272	27713037
2357-4100,0034-7426	0034-7426	15763164
2463-0225,0034-7434	0034-7434	27713063
1989-0656,0034-7639	0034-7639	23954966
2316-9141,0034-8309	0034-8309	27716178
1679-9836,0034-8554	0034-8554	18280469
1609-7394,0034-8597	0034-8597	27713207
2154-4794,0034-9631	0034-9631	15758964
1951-6207,0035-0753	1951-6207	15753615
2295-9009,0035-0893	0035-0893	15765353
1953-812X,0035-1326	0035-1326	16652646
2118-4445,0035-2209	0035-2209	15763525
2259-0285,0035-2217	0035-2217	15759575
1775-3864,0035-2349	0035-2349	7318984
2294-1088,0035-2381	0035-2381	3428649
2271-7005,0035-2624	0035-2624	16672690
2105-2964,0035-2942	0035-2942	3428726
2292-2512,0035-3086	0035-3086	27716976
1953-8111,0035-3337	0035-3337	23371318
2295-9696,0035-3620	0035-3620	15766804
1938-3401,0035-4902	0035-4902	3429657
2465-0765,0035-5607	0035-5607	27722251
2421-5864,0035-6212	0035-6212	15760127
2385-0833,0035-6875	0035-6875	3937995
2544-5200,0035-7707	0035-7707	11835070
2295-9017,0035-8002	0035-8002	15766331
1864-0737,0035-8126	0035-8126	2164877
1465-4008,0035-8533	0035-8533	7761617
1365-8711,0035-8711	0035-8711	1536490
2009-0048,0035-8991	0035-8991	27716122
2154-0098,0035-919X	0035-919X	6151615
2543-9170,0035-9629	0035-9629	27718640
1555-6255,0036-0295	0036-0295	15763352
2163-8195,0036-5637	0036-5637	15763370
1949-8594,0036-6803	0036-6803	15755444
1420-9144,0036-6978	0036-6978	15759569
1664-2848,0036-7281	0036-7281	15761722
1424-4004,0036-7486	0036-7486	1261652
1940-1302,0036-8121	0036-8121	27714966
1943-0930,0036-8423	0036-8423	2313730
2041-4951,0036-9276	0036-9276	15755125
2254-6227,0036-9764	0036-9764	7439227
1573-9260,0037-4466	0037-4466	4418306
2242-4075,0037-5330	0037-5330	15756033
2222-4327,0037-6795	0037-6795	7764766
2152-405X,0037-7996	0037-7996	15757798
2312-7198,0037-8054	0037-8054	15757237
2282-1228,0037-8747	0037-8747	21385839
1777-5469,0037-8984	0037-8984	2928102
1961-9049,0037-9085	0037-9085	26841921
1957-7850,0037-9166	1957-7850	3186863
2168-6351,0037-9271	0037-9271	4767825
1777-5817,0037-9409	0037-9409	4035500
2102-622X,0037-9484	0037-9484	4996832
2150-5926,0037-9808	0037-9808	15734614
1883-6526,0037-9980	0037-9980	3186948
1865-5580,0038-0164	0038-0164	2296972
2457-0257,0038-0229	0038-0229	27718539
2162-1128,0038-0237	0038-0237	15817029
2406-0712,0038-0318	0038-0318	15814320
1573-9279,0038-0741	0038-0741	15762828
1881-1418,0038-0806	0038-0806	15752597
2162-4534,0038-3872	0038-3872	5735555
1865-5203,0038-884X	0038-884X	1197035
1437-1049,0038-9145	0038-9145	18326530
2217-3986,0038-982X	0038-982X	27716455
1452-3701,0039-1743	0039-1743	15766970
1573-9325,0039-2316	0039-2316	12144457
2421-5856,0039-2944	0039-2944	15758082
1789-2422,0039-3266	0039-3266	15749314
2047-0584,0039-3630	0039-3630	15764603
1881-4751,0039-906X	0039-906X	15764478
2163-5684,0040-0599	0040-0599	18388223
1474-2286,0040-2982	0040-2982	7698869
1096-9926,0040-3709	0040-3709	15724446
2169-1304,0040-5639	0040-5639	3523724
1664-2864,0040-5930	0040-5930	26842198
1958-5578,0040-5957	0040-5957	20164831
1504-291X,0040-716X	0040-716X	19392471
2211-9434,0040-7496	0040-7496	21385908
1965-0604,0040-9375	0040-9375	3532092
2104-3663,0041-1868	0041-1868	15763668
2448-718X,0041-3011	0041-3011	5823610
2325-8101,0041-462X	0041-462X	15763338
1573-9376,0041-5995	0041-5995	15755587
2448-4873,0041-8633	0041-8633	27718991
1433-0571,0042-1111	0042-1111	27717971
1423-0399,0042-1138	0042-1138	26854025
1996-6652,0042-1294	0042-1294	1888743
2305-2872,0042-1316	0042-1316	15766395
1865-5211,0042-4498	0042-4498	1217253
2366-1992,0042-4501	0042-4501	2519281
2042-7670,0042-4900	0042-4900	7923713
2271-717X,0042-5605	0042-5605	47010234
2196-7121,0042-5702	0042-5702	1263938
2242-8828,0042-6806	0042-6806	15759109
1884-3433,0042-6857	0042-6857	26853999
2217-4753,0042-8469	0042-8469	24968995
2192-8762,0043-0978	0043-0978	1323951
1940-1310,0043-1672	0043-1672	7978327
1878-6669,0043-2288	0043-2288	15761453
0083-792X,0043-2431	0043-2431	7981920
1563-258X,0043-5341	0043-5341	26842108
2373-5112,0043-7956	0043-7956	7953955
2041-4811,0044-0604	0044-0604	15760987
1439-9148,0044-166X	0044-166X	27714021
2412-0723,0044-197X	0044-197X	27713973
2196-713X,0044-216X	0044-216X	186830
1864-2950,0044-2380	0044-2380	186647
1435-1293,0044-264X	0044-264X	15749455
2197-912X,0044-2674	0044-2674	15724473
1521-3870,0044-3050	1521-3870	15754599
1617-7134,0044-3158	0044-3158	8068626
1438-941X,0044-3220	0044-3220	27713928
1439-2615,0044-3301	0044-3301	186821
2196-7016,0044-3506	0044-3506	15753620
2235-1477,0044-3514	0044-3514	7550761
2365-7693,0044-3751	0044-3751	27718525
1439-9436,0044-6173	0044-6173	15752260
1467-6338,0044-6483	1467-6338	4689554
2104-3655,0044-8613	0044-8613	15767496
1834-562X,0045-0618	0045-0618	27716808
1521-415X,0045-205X	0045-205X	864461
2058-3400,0046-2039	0046-2039	27710657
2002-4509,0046-8444	2002-4509	50815153
1881-1302,0047-1879	0047-1879	27711805
2398-4961,0047-8105	0047-8105	15710010
1884-0108,0048-0444	0048-0444	15753386
1568-5365,0048-1009	1568-5365	15716575
2366-0481,0048-2129	0048-2129	663725
1451-9283,0048-5705	0048-5705	29043859
2202-932X,0048-671X	0048-671X	15763952
2240-2683,0048-7449	0048-7449	26867029
2191-0308,0048-7554	0048-7554	23582803
2250-639X,0048-7600	0048-7600	27712974
1989-0613,0048-7694	0048-7694	23954993
1663-4446,0048-8046	0048-8046	25383499
2057-4908,0048-8402	0048-8402	15758720
2073-9826,0049-2930	0049-2930	15762841
1758-1133,0049-4755	0049-4755	24056179
2190-6262,0049-8637	0049-8637	15766965
2365-953X,0049-8653	0049-8653	186704
1969-6663,0065-0536	0065-0536	28841183
2049-6494,0065-8995	0065-8995	15758711
2330-1880,0065-9991	0065-9991	2101371
2083-3563,0066-2232	0066-2232	39999930
1969-6760,0066-2399	0066-2399	1638544
2105-2948,0066-3085	0066-3085	15762328
1545-326X,0066-4219	0066-4219	567363
