Acta Zoologica Lituanica	Informa UK (Taylor & Francis)	1648-6919,1392-1657	1392-1657	15817387
Actinomycetologica	The Society for Actinomycetes Japan	1881-6371,0914-5818	0914-5818	27714627
Action in Teacher Education	Informa UK (Taylor & Francis)	2158-6098,0162-6620	0162-6620	15757161
Actual Problems of Economics and Law	Tatar Educational Centre Taglimat	2410-0390,1993-047X	1993-047X	50808142
Actualidades en Psicologa	Universidad de Costa Rica	2215-3535,0258-6444	2215-3535	27726335
Acute Cardiac Care	Informa UK (Taylor & Francis)	1748-295X,1748-2941	1748-2941	15745553
Adansonia	BioOne (Museum National d'Histoire Naturelle, Paris, France)	1639-4798,1280-8571	1280-8571	5735523
Adipocyte	Landes Bioscience	2162-397X,2162-3945	2162-3945	26853830
Administrative Theory & Praxis	Informa UK (Taylor & Francis)	1949-0461,1084-1806	1084-1806	15751225
Adolescence	CAIRN	1969-6736,0751-7696	0751-7696	16672681
Adoption Quarterly	Informa UK (Taylor & Francis)	1544-452X,1092-6755	1092-6755	15751793
Adsorption Science & Technology	SAGE Publications	2048-4038,0263-6174	0263-6174	15753313
Adult Learning	SAGE Publications	2162-4070,1045-1595	1045-1595	20312331
Advanced Device Materials	Maney Publishing	2055-0316,2055-0308	2055-0316	50815229
Advanced Manufacturing Polymer & Composites Science	Maney Publishing	2055-0359,2055-0340	2055-0359	50815227
Advanced Nonlinear Studies	Walter de Gruyter GmbH	2169-0375,1536-1365	1536-1365	13362324
Advanced Performance Materials	Springer-Verlag	1572-8765,0929-1881	0929-1881	15760663
Advanced Pharmaceutical Bulletin	International Society for Phytocosmetic Sciences	2251-7308,2228-5881	2228-5881	26853868
Advanced Studies in Biology	Hikari, Ltd.	1314-7668,1313-9495	1313-9495	27723836
Advanced Studies in Theoretical Physics	Hikari, Ltd.	1314-7609,1313-1311	1313-1311	15758244
Advances in Bioinformatics	Hindawi Limited	1687-8035,1687-8027	1687-8027	26842273
Advances in Calculus of Variations	Walter de Gruyter GmbH	1864-8266,1864-8258	1864-8258	13361298
Aquatic Ecosystem Health & Management	Informa UK (Taylor & Francis)	1539-4077,1463-4988	1463-4988	15746547
Transactions of the ASAE	American Society of Agricultural and Biological Engineers	2151-0059,0001-2351	0001-2351	15765755
L Actualit conomique	Consortium Erudit	1710-3991,0001-771X	0001-771X	27718381
The Aeronautical Journal	Cambridge University Press	2059-6464,0001-9240	0001-9240	15767122
Agrokmia s Talajtan	Akademiai Kiado Zrt.	1588-2713,0002-1873	0002-1873	15750557
Die Aktiengesellschaft	Verlag Dr. Otto Schmidt KG	2366-097X,0002-3752	0002-3752	1210974
Allgemeines Statistisches Archiv	Springer-Verlag	1614-0176,0002-6018	0002-6018	4654500
American Antiquity	Cambridge University Press	2325-5064,0002-7316	0002-7316	4742995
Journal of the American Society for Information Science	Wiley Blackwell (John Wiley & Sons)	1097-4571,0002-8231	0002-8231	152040
The American Economic Review	American Economic Association	1944-7981,0002-8282	0002-8282	1740221
American Journal of Anatomy	Wiley Blackwell (John Wiley & Sons)	1553-0795,0002-9106	0002-9106	26839888
American Journal of Clinical Hypnosis	Informa UK (Taylor & Francis)	2160-0562,0002-9157	0002-9157	15760320
The American Journal of Comparative Law	Oxford University Press	2326-9197,0002-919X	0002-919X	4744238
The American Journal of International Law	Cambridge University Press	2161-7953,0002-9300	0002-9300	2646273
American Journal of Science	American Journal of Science	1945-452X,0002-9599	0002-9599	465355
Bulletin of the American Schools of Oriental Research	The American Schools of Oriental Research	2161-8062,0003-097X	0003-097X	589209
Futuribles	EDP Sciences	0003-181X,0337-307X	0337-307X	3487551
Analecta Bollandiana	Brepols Publishers, NV	2507-0290,0003-2468	0003-2468	15749776
The Anatomical Record	Wiley Blackwell (John Wiley & Sons)	1097-0185,0003-276X	0003-276X	24056056
Annales Botanici Fennici	BioOne (Finnish Zoological and Botanical Publishing Board)	1797-2442,0003-3847	0003-3847	5696319
Annales de Gographie	CAIRN	1777-5884,0003-4010	error	error
Annales de Limnologie - International Journal of Limnology	EDP Sciences	2100-000X,0003-4088	0003-4088	15767436
Annales de Normandie	PERSEE Program	2261-4427,0003-4134	0003-4134	15745226
Annales de Zootechnie	EDP Sciences	1297-9651,0003-424X	0003-424X	27968332
Annales Zoologici Fennici	BioOne (Finnish Zoological and Botanical Publishing Board)	1797-2450,0003-455X	0003-455X	15757044
Annals of Tropical Medicine and Parasitology	Maney Publishing	1364-8594,0003-4983	0003-4983	26842813
Anthropologica	University of Toronto Press Inc	2292-3586,0003-5459	0003-5459	15764760
The Journal of Anthropological Society of Nippon	Anthropological Society of Nippon	1884-765X,0003-5505	0003-5505	27718207
Antik Tanulmnyok	Akademiai Kiado Zrt.	1588-2748,0003-567X	0003-567X	772287
Applied Biochemistry and Microbiology	Pleiades Publishing	1608-3024,0003-6838	0003-6838	15746404
Applied Solar Energy	Allerton Press	1934-9424,0003-701X	0003-701X	15745242
Archaeologiai rtest	Akademiai Kiado Zrt.	1589-486X,0003-8032	0003-8032	776367
Archiv fr Kulturgeschichte	Bohlau Verlag	2194-3958,0003-9233	0003-9233	635627
Archiv fr Reformationsgeschichte - Archive for Reformation History	Gutersloher Verlaghaus	2198-0489,0003-9381	0003-9381	635641
Archivalische Zeitschrift	Bohlau Verlag	2194-3826,0003-9497	0003-9497	635692
Archives Internationales d Histoire des Sciences	Brepols Publishers, NV	2507-038X,0003-9810	0003-9810	15756569
Archivo Espaol de Arte	Departmento de Publicaciones del CSIC	1988-8511,0004-0428	error	error
Archivum Immunologiae et Therapiae Experimentalis	Springer-Verlag	1661-4917,0004-069X	0004-069X	15760838
Archives of Electrical Engineering	De Gruyter Open Sp. z o.o.	2300-2506,0004-0746	2300-2506	15766566
ARCTIC	The Arctic Institute of North America	1923-1245,0004-0843	0004-0843	4787488
Arhiv za farmaciju	Centre for Evaluation in Education and Science	2217-8767,0004-1963	0004-1963	27720095
Art Journal	Informa UK (Taylor & Francis)	2325-5307,0004-3249	0004-3249	4796916
Arts asiatiques	PERSEE Program	2111-4552,0004-3958	0004-3958	15756240
Asiatische Studien  tudes Asiatiques	Walter de Gruyter GmbH	2235-5871,0004-4717	0004-4717	15755123
Publications of the Astronomical Society of Japan	Oxford University Press	2053-051X,0004-6264	0004-6264	2319640
The Astrophysical Journal	American Astronomical Society	1538-4357,0004-637X	error	error
Australasian Journal of Philosophy	Informa UK (Taylor & Francis)	1470-6828,0004-8402	0004-8402	2196617
Australasian Radiology	Wiley Blackwell (Blackwell Publishing)	1440-1673,0004-8461	0004-8461	6295529
Australian Academic & Research Libraries	Informa UK (Taylor & Francis)	1839-471X,0004-8623	0004-8623	15762649
Australian Forestry	Informa UK (Taylor & Francis)	2325-6087,0004-9158	0004-9158	15759297
Australian Geographical Studies	Wiley Blackwell (Blackwell Publishing)	1467-8470,0004-9190	0004-9190	15757070
Australian Journal of French Studies	Liverpool University Press	2046-2913,0004-9468	0004-9468	15766959
The Australian Library Journal	Informa UK (Taylor & Francis)	2201-4276,0004-9670	0004-9670	15767010
BIOS	BioOne (Beta Beta Biological Society)	1943-6289,0005-3155	0005-3155	27719942
Bee World	Informa UK (Taylor & Francis)	2376-7618,0005-772X	0005-772X	15766714
Beitrge aus der Plasmaphysik	Wiley Blackwell (John Wiley & Sons)	1521-3986,0005-8025	1521-3986	3014091
Bibliotheksdienst	Walter de Gruyter GmbH	2194-9646,0006-1972	0006-1972	856594
Bijdragen tot de taal- land- en volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia	Brill Academic Publishers	2213-4379,0006-2294	0006-2294	2218162
Biology of the Neonate	S. Karger AG	1421-9727,0006-3126	0006-3126	2817272
Biometrische Zeitschrift	Wiley Blackwell (John Wiley & Sons)	1521-4037,0006-3452	0006-3452	27709368
BIOPHYSICS	Pleiades Publishing	1555-6654,0006-3509	0006-3509	15751782
The Black Scholar	Informa UK (Taylor & Francis)	2162-5387,0006-4246	0006-4246	7718432
Blumea - Biodiversity Evolution and Biogeography of Plants	Naturalis Biodiversity Center	2212-1676,0006-5196	0006-5196	1086260
Brgygyszati s Venerolgiai Szemle	Hungarian Dermatological Society	2064-261X,0006-7768	0006-7768	27717954
Shokubutsugaku Zasshi	The Botanical Society of Japan	2185-3835,0006-808X	0006-808X	13548534
Bothalia	AOSIS	2311-9284,0006-8241	0006-8241	5732717
Breviora	BioOne (Museum of Comparative Zoology, Harvard University)	1938-2979,0006-9698	0006-9698	21385091
British Journal of Plastic Surgery	Elsevier	1465-3087,0007-1226	0007-1226	15753399
Journal of the British Society for Phenomenology	Informa UK (Taylor & Francis)	2332-0486,0007-1773	0007-1773	15759437
Bulletin de psychologie	CAIRN	1968-3766,0007-4403	0007-4403	2928064
Laboratory Medicine	Oxford University Press	1943-7730,0007-5027	0007-5027	26839743
EXPERIMENTAL ANIMALS	Japanese Association for Laboratory Animal Science	1884-4170,0007-5124	0007-5124	27710834
The Bulletin of zoological nomenclature	BioOne - The Bulletin of Zoological Nomenclature	2057-0570,0007-5167	0007-5167	15759939
Byzantinische Zeitschrift	Walter de Gruyter GmbH	1864-449X,0007-7704	0007-7704	871189
Cactus and Succulent Journal	BioOne (Cactus and Succulent Society of America)	1938-288X,0007-9367	0007-9367	6400102
Les Cahiers de droit	Consortium Erudit	1918-8218,0007-974X	0007-974X	15752030
Cahiers internationaux de sociologie	CAIRN	1969-6787,0008-0276	0008-0276	2933148
Calcutta Statistical Association Bulletin	SAGE Publications	2456-6462,0008-0683	0008-0683	15759619
California Management Review	SAGE Publications	2162-8564,0008-1256	0008-1256	5020678
Canadian Journal of Animal Science	Canadian Science Publishing	1918-1825,0008-3984	0008-3984	13452864
Canadian Journal of Botany	Canadian Science Publishing	1480-3305,0008-4026	0008-4026	5746292
Canadian Journal of History	University of Toronto Press Inc	2292-8502,0008-4107	0008-4107	15762035
The Canadian Journal of Hospital Pharmacy	Canadian Society of Hospital Pharmacists	1920-2903,0008-4123	0008-4123	15765960
Canadian Journal of Occupational Therapy	SAGE Publications	1911-9828,0008-4174	0008-4174	15749644
Canadian Journal of Ophthalmology	Elsevier	1715-3360,0008-4182	0008-4182	15749645
Canadian Journal of Plant Science	Canadian Science Publishing	1918-1833,0008-4220	0008-4220	2714071
Canadian Metallurgical Quarterly	Informa UK (Taylor & Francis)	1879-1395,0008-4433	0008-4433	15757086
Canadian Slavonic Papers	Informa UK (Taylor & Francis)	2375-2475,0008-5006	0008-5006	15754742
Canadian Society of Forensic Science Journal	Informa UK (Taylor & Francis)	2332-1660,0008-5030	0008-5030	6296128
Caribbean Quarterly	Informa UK (Taylor & Francis)	2470-6302,0008-6495	0008-6495	15817410
Caryologia	Informa UK (Taylor & Francis)	2165-5391,0008-7114	0008-7114	21385155
Courrier hebdomadaire du CRISP	CAIRN	1782-141X,0008-9664	0008-9664	47009732
Ceylon Medical Journal	Sri Lanka Journals Online	2386-1274,0009-0875	0009-0875	15757180
China Report	SAGE Publications	0973-063X,0009-4455	0009-4455	15746496
Choice Reviews Online	American Library Association	1523-8253,0009-4978	0009-4978	27716667
Chronique d Egypte	Brepols Publishers, NV	2034-6441,0009-6067	0009-6067	15761399
Rendiconti del Circolo Matematico di Palermo (1952 -)	Springer-Verlag	1973-4409,0009-725X	0009-725X	2535964
Collectanea mathematica	Springer-Verlag	2038-4815,0010-0757	0010-0757	5777499
Collection of Czechoslovak Chemical Communications	Institute of Organic Chemistry & Biochemistry, Academy of Sciences of the Czech Republic	1212-6950,0010-0765	0010-0765	45134498
Comparative Politics	Comparative Politics	2151-6227,0010-4159	0010-4159	15758877
Computers and Biomedical Research	Elsevier	1090-2368,0010-4809	0010-4809	6294850
Conceptus	Walter de Gruyter GmbH	2196-9523,0010-5155	0010-5155	1123851
Contemporary Psychoanalysis	Informa UK (Taylor & Francis)	2330-9091,0010-7530	0010-7530	5165000
Rocky Mountain Geology	Rocky Mountain Geology, University of Wyoming	1555-7340,0010-7980	1555-7340	29043710
Journal of Stomatology	Index Copernicus International	2299-551X,0011-4553	0011-4553	27710591
Czechoslovak Journal of Physics	Springer-Verlag	1572-9486,0011-4626	0011-4626	5413003
Darwiniana nueva serie	Instituto de Botanica Darwinion (IBODA)	1850-1699,0011-6793	0011-6793	5799467
Defence Science Journal	Defence Scientific Information and Documentation Centre	0976-464X,0011-748X	0011-748X	15764045
