title	publisher	1	2
Chemischer Informationsdienst	Wiley (John Wiley & Sons)	0009-2975	
Ruthenium–Arene Complexes	Georg Thieme Verlag KG	0010-0900	
College Student Personnel Abstracts	Wiley (Blackwell Publishing)	0010-1168	
Comparative Group Studies	SAGE Publications	0010-4108	
C R C Critical Reviews in Solid State Sciences	Informa UK (Taylor & Francis)	0011-085X	
Cultural Hermeneutics	SAGE Publications	0011-2860	
Data Processing	Elsevier	0011-684X	
Deep Sea Research and Oceanographic Abstracts	Elsevier	0011-7471	
Design	Informa UK (Taylor & Francis)	0011-9253	
Mitteilungen der Deutschen Entomologischen Gesellschaft	Wiley (John Wiley & Sons)	0012-0065	
Doklady Botanical Sciences	Springer (Kluwer Academic Publishers)	0012-4982	
Doklady Chemical Technology	Springer (Kluwer Academic Publishers)	0012-4990	
Drug Information Bulletin	SAGE Publications	0012-656X	
East African Agricultural and Forestry Journal	Informa UK (Taylor & Francis)	0012-8325	
Educational Theatre Journal	JSTOR	0013-1989	
Eisei kagaku	Pharmaceutical Society of Japan	0013-273X	
Environmental Pollution (1970)	Elsevier	0013-9327	
Farm Economist	Informa UK (Taylor & Francis)	0014-7931	
Fibre Science and Technology	Elsevier	0015-0568	
Journal of the Fisheries Research Board of Canada	Canadian Science Publishing	0015-296X	
Physics and Chemistry of Materials Treatment	Intercontact Science	0015-3214	
Folia Quaternaria	CrossRef test user	0015-573X	
Geoexploration	Elsevier	0016-7142	
Геохимия	Akademizdatcenter Nauka	0016-7525	
Геомагнетизм и аэрономия	Akademizdatcenter Nauka	0016-7940	
Geophysical Journal of the Royal Astronomical Society	Wiley (Blackwell Publishing)	0016-8009	
Philosophy and History	Philosophy Documentation Center	0016-884X	
Gornyi Zhurnal	Ore and Metals Publishing House	0017-2278	
Vierteljahresschrift für Heilpädagogik und ihre Nachbargebiete	Ernst Reinhardt, GmbH & Co. KG	0017-9655	
Helgoländer Wissenschaftliche Meeresuntersuchungen	Springer-Verlag	0017-9957	
Historical Methods Newsletter	Informa UK (Taylor & Francis)	0018-2494	
IEE-IERE Proceedings - India	Institution of Electrical Engineers	0018-9146	
IEEE Transactions on Audio and Electroacoustics	Institute of Electrical and Electronics Engineers	0018-9278	
IEEE Transactions on Communication Technology	Institute of Electrical and Electronics Engineers	0018-9332	
IEEE Transactions on Electrical Insulation	Institute of Electrical and Electronics Engineers	0018-9367	
IEEE Transactions on Engineering Writing and Speech	Institute of Electrical and Electronics Engineers	0018-9405	
IEEE Transactions on Industrial Electronics and Control Instrumentation	Institute of Electrical and Electronics Engineers	0018-9421	
IEEE Transactions on Industry and General Applications	Institute of Electrical and Electronics Engineers	0018-943X	
IEEE Transactions on Parts Materials and Packaging	Institute of Electrical and Electronics Engineers	0018-9502	
IEEE Transactions on Sonics and Ultrasonics	Institute of Electrical and Electronics Engineers	0018-9537	
Improving College and University Teaching	Informa UK (Taylor & Francis)	0019-3089	
Industrial and Commercial Training	Emerald (MCB UP )	0019-7858	
Information Storage and Retrieval	Elsevier	0020-0271	
Ingenieur-Archiv	Springer-Verlag	0020-1154	
Journal of the Staple Inn Actuarial Society	Cambridge University Press	0020-269X	
Institute of Development Studies Bulletin	Wiley (Blackwell Publishing)	0020-2835	
Measurement and Control	SAGE Publications	0020-2940	
ICE Proceedings	Thomas Telford Ltd.	0020-3262	
International Association of Scientific Hydrology Bulletin	Informa UK (Taylor & Francis)	0020-6024	
International Financial Statistics (Monthly)	International Monetary Fund	0020-6725	
International Journal of Fracture Mechanics	Springer-Verlag	0020-7268	
International Journal of Machine Tool Design and Research	Elsevier	0020-7357	
International Journal of Mass Spectrometry and Ion Physics	Elsevier	0020-7381	
International Journal of Offender Therapy	SAGE Publications	0020-7497	
International Journal of Physical Distribution	Emerald (MCB UP )	0020-7527	
Israel Journal of Earth Sciences	Laser Pages Publishing Ltd	0021-2164	
L Italia Forestale e Montana	Accademia Italiana di Scienze Forestali	0021-2776	
Izvestiâ vysših učebnyh zavedenij Priborostroenie	ITMO University	0021-3454	
Journal de Chimie Physique	EDP Sciences	0021-7689	
Journal of Basic Engineering	ASME International	0021-9223	
Journal of Broadcasting	Informa UK (Taylor & Francis)	0021-938X	
The Journal of Business Education	Informa UK (Taylor & Francis)	0021-9444	
Journal of Comparative Administration	SAGE Publications	0021-9932	
The Journal of Critical Analysis	Philosophy Documentation Center	0022-0213	
Journal of Cybernetics	Informa UK (Taylor & Francis)	0022-0280	
Journal of Elastoplastics	SAGE Publications	0022-071X	
Journal of Engineering Physics	Springer-Verlag	0022-0841	
Journal of Fire & Flammability	SAGE Publications	0022-1104	
The Journal of Gemmology	GEM-A	0022-1252	
Journal of Lubrication Technology	ASME International	0022-2305	
Journal of Macromolecular Science Part D - Reviews in Polymer Processing	Informa UK (Taylor & Francis)	0022-2321	
Journal of Mechanisms	Elsevier	0022-2569	
Journal of Milk and Food Technology	International Association for Food Protection	0022-2747	
The Journal of Photographic Science	Informa UK (Taylor & Francis)	0022-3638	
Journal of Purchasing	Wiley (Blackwell Publishing)	0022-4030	
Journal of Research of the National Bureau of Standards Section C Engineering and Instrumentation	National Institute of Standards and Technology	0022-4316	
Journal of Soil Science	Wiley (Blackwell Publishing)	0022-4588	
Journal of Strain Analysis	SAGE Publications	0022-4758	
Journal of the Reading Specialist	Informa UK (Taylor & Francis)	0022-5126	
Journalism Quarterly	SAGE Publications	0022-5533	
Juvenile Court Judges Journal	Wiley (Blackwell Publishing)	0022-7153	
Kentucky Foreign Romance Quarterly	Informa UK (Taylor & Francis)	0023-0332	
Kiswahili	African Journals Online	0023-1886	
Kolloid-Zeitschrift & Zeitschrift für Polymere	Springer-Verlag	0023-2904	
Horse breeding and equestrian sports	Science and Education, Ltd.	0023-3285	
Космические исследования	Akademizdatcenter Nauka	0023-4206	
Közlekedéstudományi Szemle	Kozlekedestudomanyi Szemle	0023-4362	
Kultura	Centre for Evaluation in Education and Science	0023-5164	
Kvasny Prumysl	Research Institute of Brewing and Malting, Plc. (Vyzkumny Ustav Pivovarsky a Sladarsky)	0023-5830	
Kwartalnik Pedagogiczny	Index Copernicus International	0023-5938	
Learning for Living	Informa UK (Taylor & Francis)	0023-9704	
Лесоведение	Akademizdatcenter Nauka	0024-1148	
Magyar Pedagógia	Magyar Pedagogia	0025-0260	
Die Makromolekulare Chemie	Wiley (John Wiley & Sons)	0025-116X	
Marcellia	Smithsonian Institution Biodiversity Heritage Library	0025-2794	
Matériaux et Constructions	Springer-Verlag	0025-5432	
Mathematical Systems Theory	Springer-Verlag	0025-5661	
Mens en maatschappij	Amsterdam University Press	0025-9454	
Metal Science Journal	Informa UK (Taylor & Francis)	0026-0681	
Midwest Journal of Political Science	JSTOR	0026-3397	
The Bulletin of the Midwest Modern Language Association	JSTOR	0026-3419	
Midwest Review of Public Administration	SAGE Publications	0026-346X	
Mimos	Peter Lang, International Academic Publishers	0026-4385	
Bulletin Of The Mineral Research and Exploration	Bulletin of the Mineral Research and Exploration	0026-4563	
The Moon	Springer-Verlag	0027-0903	
NCCD news	SAGE Publications	0027-6235	
Näringsforskning	Informa UK (Taylor & Francis)	0027-7878	
Neuroscience Translations	Springer-Verlag	0028-3959	
Nigerian Libraries	African Journals Online	0029-0122	
Nouvelle Revue d Optique Appliquée	IOP Publishing	0029-4780	
Occupational Therapy the Official Journal of the Association of Occupational Therapists	SAGE Publications	0029-800X	
Optica Pura y Aplicada	Sociedad Espanola de Optica	0030-3917	2171-8814
Program in Ethnographic Film (PIEF) Newsletter	Wiley (Blackwell Publishing)	0030-8013	
Paper in Linguistics	Informa UK (Taylor & Francis)	0031-1251	
Performing Arts Review	Informa UK (Taylor & Francis)	0031-5249	
Personnel Administration	SAGE Publications	0031-5710	
Petroleum Chemistry U S S R	Elsevier	0031-6458	
Philippine Scientific Journal	PhilJOL	0031-7799	
Photogrammetria	Elsevier	0031-8663	
The Physics of Fluids	American Institute of Physics	0031-9171	
Planning Outlook	Informa UK (Taylor & Francis)	0032-0714	
Plasma Physics	IOP Publishing	0032-1028	
Poe Newsletter	Wiley (Blackwell Publishing)	0032-1877	
Polymer Mechanics	Springer-Verlag	0032-390X	
Polymer News	Informa UK (Taylor & Francis)	0032-3918	
Polymer Science U S S R	Elsevier	0032-3950	
Proceedings of Electrotechnical Institute	Index Copernicus International	0032-6216	
Practical Anthropology	SAGE Publications	0032-633X	
Приборы и техника эксперимента	Akademizdatcenter Nauka	0032-8162	
Record of the Art Museum Princeton University	JSTOR	0032-843X	
Privredna izgradnja	National Library of Serbia	0032-8979	
Production Engineer	Institution of Electrical Engineers	0032-9851	
Programmed Learning and Educational Technology	Informa UK (Taylor & Francis)	0033-0396	
PRZEGLĄD GEODEZYJNY	Wydawnictwo SIGMA-NOT, sp. z.o.o.	0033-2127	
PRZEGLĄD PAPIERNICZY	Wydawnictwo SIGMA-NOT, sp. z.o.o.	0033-2291	
Educational Psychology	Index Copernicus International	0033-2860	
Psychologie Française	Elsevier	0033-2984	
Qualitas Plantarum et Materiae Vegetabiles	Springer-Verlag	0033-5134	
Race	SAGE Publications	0033-7277	
Radiation Botany	Elsevier	0033-7560	
Refractories	Springer-Verlag	0034-3102	
Regional and Urban Economics	Elsevier	0034-3331	
Reinforced Plastics	Elsevier	0034-3617	
Reviews of Physics in Technology	IOP Publishing	0034-6683	
Revista de Agaroquimica y Tecnologia de Alimentos	SAGE Publications	0034-7698	
Revista de Antropologia	Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP	0034-7701	
Revista de Direito Administrativo	Fundacao Getulio Vargas	0034-8007	2238-5177
Revue de Physique Appliquée	EDP Sciences	0035-1687	
Revue française d informatique et de recherche opérationnelle	EDP Sciences	0035-3035	
Ring	De Gruyter Open Sp. z o.o.	0035-5429	
Rock Mechanics Felsmechanik Mecanique des Roches	Springer-Verlag	0035-7448	
Rock Mechanics Felsmechanik Mécanique des Roches	Springer-Verlag	0035-7448	
Journal of The Royal Central Asian Society	Informa UK (Taylor & Francis)	0035-8789	
Royal Institute of Chemistry Reviews	The Royal Society of Chemistry	0035-8940	
Bulletin of mines	Mining Institute Belgrade	0035-9637	
RUDY I METALE NIEŻELAZNE	Wydawnictwo SIGMA-NOT, sp. z.o.o.	0035-9696	
ACM SIGLASH Newsletter	Association for Computing Machinery	0036-147X	
SMPTE Journal	Society of Motion Picture and Television Engineers	0036-1682	
SPATE Journal of Student Personnel Association for Teacher Education	Wiley (John Wiley & Sons)	0036-1836	
Swiss Journal of Hydrology	Springer-Verlag	0036-7842	
Science Studies	SAGE Publications	0036-8539	
Senckenbergiana lethaea	Springer-Verlag	0037-2110	
Skin & Allergy News	Elsevier	0037-6337	
Slovak Speach	De Gruyter Open Sp. z o.o.	0037-6981	
The Slow Learning Child	Informa UK (Taylor & Francis)	0037-704X	
Bulletin de la Société préhistorique de France	PERSEE Program	0037-9514	
Proceedings of the Society for Analytical Chemistry	The Royal Society of Chemistry	0037-9697	
South African Forestry Journal	Informa UK (Taylor & Francis)	0038-2167	
South Atlantic Bulletin	JSTOR	0038-2868	
The Southern Speech Journal	Informa UK (Taylor & Francis)	0038-4585	
Soviet Atomic Energy	Springer-Verlag	0038-531X	
Soviet Materials Science	Springer-Verlag	0038-5565	
Soviet Mining Science	Springer-Verlag	0038-5581	
Soviet Physics Journal	Springer-Verlag	0038-5697	
Soviet Powder Metallurgy and Metal Ceramics	Springer-Verlag	0038-5735	
The Speech Teacher	Informa UK (Taylor & Francis)	0038-7177	
Statistische Hefte	Springer-Verlag	0039-0631	
Students Quarterly Journal	Institution of Electrical Engineers	0039-2871	
Studies in Adult Education	Informa UK (Taylor & Francis)	0039-3525	
Studies in Comparative Communism	Elsevier	0039-3592	
Survey of Anesthesiology	Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins	0039-6206	
Technikgeschichte	Nomos Verlag	0040-117X	
Telecommunications and Radio Engineering	Begell House Inc.	0040-2508	
Теоретические основы химической технологии	Akademizdatcenter Nauka	0040-3571	
Теплоэнергетика	Pleiades Publishing	0040-3636	
Trabajos de Estadistica y de Investigacion Operativa	Springer-Verlag	0041-0241	
Transactional Analysis Bulletin	SAGE Publications	0041-1051	
Transcultural Psychiatric Research Review	SAGE Publications	0041-1108	
Transportation Research	Elsevier	0041-1647	
Tribology	Elsevier	0041-2678	
TMPM Tschermaks Mineralogische und Petrographische Mitteilungen	Springer-Verlag	0041-3763	
USSR Computational Mathematics and Mathematical Physics	Elsevier	0041-5553	
Uganda Journal	African Journals Online	0041-574X	
Urology and Nephrology	Springer-Verlag	0042-1162	
Virchows Archiv B Cell Pathology Including Molecular Pathology	Springer-Verlag	0042-6431	
Vocational Guidance Quarterly	Wiley (John Wiley & Sons)	0042-7764	
Vojno delo	Centre for Evaluation in Education and Science	0042-8426	
Western European Education	Informa UK (Taylor & Francis)	0043-3675	
Western Speech	Informa UK (Taylor & Francis)	0043-4205	
Yoga Mimamsa	Medknow Publications	0044-0507	
Zeitschrift für Chemie	Wiley (John Wiley & Sons)	0044-2402	
Zeitschrift für das gesamte Genossenschaftswesen	Walter de Gruyter GmbH	0044-2429	
Zeitschrift für Morphologie der Tiere	Springer-Verlag	0044-3131	
Zeitschrift für Pflanzenphysiologie	Elsevier	0044-328X	
Zeitschrift für Physikalische Chemie/International journal of research in physical chemistry and chemical physics	Oldenbourg Wissenschaftsverlag	0044-3336	
Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete	Springer-Verlag	0044-3719	
Zeitschrift für Zellforschung und Mikroskopische Anatomie	Springer-Verlag	0044-3794	
Fasciculi Mathematici	Walter de Gruyter GmbH	0044-4413	
Zoologica Africana	Informa UK (Taylor & Francis)	0044-5096	
Bulletin of the Association for Preservation Technology	JSTOR	0044-9466	
Western Birds	Western Field Ornithologists	0045-3897	
COSPAR Information Bulletin	Elsevier	0045-8732	
Geophysical Surveys	Springer-Verlag	0046-5763	
Home Economics Research Journal	Wiley (Blackwell Publishing)	0046-7774	
IEEE Transactions on Manufacturing Technology	Institute of Electrical and Electronics Engineers	0046-838X	
Indian Welding Journal	The Indian Institute of Welding	0046-9092	
Insurgent Sociologist	SAGE Publications	0047-0384	
International Journal of Group Tensions	Springer (Kluwer Academic Publishers)	0047-0732	
Journal of Architectural Education (1947-1974)	JSTOR	0047-2239	
Journal of Coated Fibrous Materials	SAGE Publications	0047-2298	
Journal of Entomology Series B Taxonomy	Wiley (Blackwell Publishing)	0047-2417	
Journal of Popular Film	Informa UK (Taylor & Francis)	0047-2719	
Management Education and Development	SAGE Publications	0047-5688	
Mathematische Operationsforschung Statistik	Informa UK (Taylor & Francis)	0047-6277	
Micron (1969)	Elsevier	0047-7206	
NACLA Newsletter	Informa UK (Taylor & Francis)	0048-0630	
Perspective	Informa UK (Taylor & Francis)	0048-3494	
Probation	SAGE Publications	0048-539X	
Rehabilitación	Elsevier	0048-7120	
Travaux de l Institut Géographique de Reims	PERSEE Program	0048-7163	
Reuse/Recycle Newsletter	SAGE Publications	0048-7457	
Reviews on Reactive Species in Chemical Reactions	Springer-Verlag	0048-7562	
Soviet Journal of Quantum Electronics	Turpion	0049-1748	
The Two-Year College Mathematics Journal	JSTOR	0049-4925	
Urban Life and Culture	SAGE Publications	0049-5662	
Women Studies Abstracts	Springer-Verlag	0049-7835	
Proceedings of the American Academy for Jewish Research	JSTOR	0065-6798	
Records of the Academy	JSTOR	0065-6844	
Proceedings and Addresses of the American Philosophical Association	JSTOR	0065-972X	
The Annual of the American Schools of Oriental Research	JSTOR	0066-0035	
Animal Behaviour Monographs	Elsevier	0066-1856	
Annales Academiae Scientiarum Fennicae Series A I Mathematica	Finnish Academy of Science and Letters	0066-1953	
Annual Review in Automatic Programming	Elsevier	0066-4138	
Archives for Meteorology Geophysics and Bioclimatology Series A	Springer-Verlag	0066-6416	
Archiv für Meteorologie Geophysik und Bioklimatologie Serie B	Springer-Verlag	0066-6424	
Archives for Meteorology Geophysics and Bioclimatology Series B	Springer-Verlag	0066-6424	
Badania Fizjograficzne nad Polska Zachodnia	De Gruyter Open Sp. z o.o.	0067-2807	
Iraqi Journal of Science	University of Baghdad College of Science	0067-2904	2312-1637
Boletim Paranaense de Geociências	Universidade Federal do Parana	0067-964X	
Brigham Young University science bulletin	Smithsonian Institution Biodiversity Heritage Library	0068-1024	
California Studies in Classical Antiquity	JSTOR	0068-5895	
Camden Fourth Series	Cambridge University Press	0068-6905	
Annual Reports on the Progress of Chemistry Section A General Physical and Inorganic Chemistry	The Royal Society of Chemistry	0069-3022	
Journal of the County Louth Archaeological and Historical Society	JSTOR	0070-1327	
David Davies Memorial Institute of International Studies Annual memorial lecture	SAGE Publications	0070-2900	
Ernährungsforschung	Informa UK (Taylor & Francis)	0071-1179	
Anais da Escola Superior de Agricultura Luiz de Queiroz	SciELO	0071-1276	
Transactions of the Faculty of Actuaries	Cambridge University Press	0071-3686	
Kolloidchemische Beihefte	Springer-Verlag	0071-8017	
Cahiers du Séminaire d Économétrie	JSTOR	0071-8343	
Geoscience and Man	Informa UK (Taylor & Francis)	0072-1395	
Glottodidactica An International Journal of Applied Linguistics	Adam Mickiewicz University Poznan	0072-4769	
Proceedings of the Annual Congresses of the Grassland Society of Southern Africa	Informa UK (Taylor & Francis)	0072-5560	
Iconographia mycologica	Springer-Verlag	0073-4411	
Inorganica Chimica Acta Reviews	Elsevier	0073-8085	
Bulletin d information de l Institut de Recherche et d Histoire des Textes	PERSEE Program	0073-8204	
Bulletin of the International Association of Engineering Geology	Springer-Verlag	0074-1612	
Symposium - International Astronomical Union	Cambridge University Press	0074-1809	
Annals of the ICRP/ICRP Publication	SAGE Publications	0074-2740	
Summary Proceedings	International Monetary Fund	0074-7025	
International Review of Sport Sociology	SAGE Publications	0074-7769	
Jahrbuch für Volksliedforschung	JSTOR	0075-2789	
Jahrbuch der Jean-Paul-Gesellschaft	Walter de Gruyter GmbH	0075-3580	
Relationships of pocket gophers of the genus Geomys from the Central and Northern Great Plains / by Lawrence R Heaney and Robert M Timm	Smithsonian Institution Biodiversity Heritage Library	0075-5028	
University of Kansas publications Museum of Natural History	Smithsonian Institution Biodiversity Heritage Library	0075-5036	
Lagos Notes and Records	African Journals Online	0075-7640	
Lick Observatory Bulletins	Smithsonian Institution	0075-9317	
LUD Organ Polskiego Towarzystwa Ludoznawczego i Komitetu Nauk Etnologicznych PAN	Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University	0076-1435	
Metallurgical Reviews	Maney Publishing	0076-6690	
Neodidagmata	Adam Mickiewicz University Poznan	0077-653X	
Jahresberichte und Mitteilungen des Oberrheinischen Geologischen Vereins	Schweizerbart	0078-2947	
Paedagogica Europaea	JSTOR	0078-7787	
Post-Medieval Archaeology	Maney Publishing	0079-4325	
Soil Annual Science	De Gruyter Open Sp. z o.o.	0080-3642	
Proceedings of the Royal Anthropological Institute of Great Britain and Ireland	JSTOR	0080-4169	
Royal Institute of Philosophy Lectures	Cambridge University Press	0080-4436	
Sixteenth Century Essays and Studies	JSTOR	0080-987X	
Smithsonian Contributions to Astrophysics	Smithsonian Institution	0081-0231	
Smithsonian Contributions to the Earth Sciences	Smithsonian Institution	0081-0274	
Transactions of the AIME	Society of Petroleum Engineers	0081-1696	
Southern Journal of Agricultural Economics	Cambridge University Press	0081-3052	
Studia Geomorphologica Carpatho-Balcanica	CrossRef test user	0081-6434	
Studia Psychologiczne	CrossRef test user	0081-685X	
Tobacco Science	Tobacco Science	0082-4623	
Tulane studies in zoology	Smithsonian Institution Biodiversity Heritage Library	0082-6782	
Publications of the United States Naval Observatory	Smithsonian Institution	0083-2448	
Wiener Slavistisches Jahrbuch	Harrassowitz Publishing House	0084-0041	
Yearbook of Dentistry	Elsevier	0084-3717	
Yearbook of Endocrinology	Elsevier	0084-3741	
Yearbook of Medicine	Elsevier	0084-3873	
Yearbook of Ophthalmology	Elsevier	0084-392X	
Yearbook of Pediatrics	Elsevier	0084-3954	
Yearbook of Psychiatry and Applied Mental Health	Elsevier	0084-3970	
Yearbook of Urology	Elsevier	0084-4071	
Zoning Digest	Informa UK (Taylor & Francis)	0084-5566	
The Proceedings of the Iowa Academy of Science	Smithsonian Institution Biodiversity Heritage Library	0085-2236	
Türkiyat Mecmuası	Turkiyat Mecmuasi	0085-7432	
ARLIS/NA Newsletter	The University of Chicago Press	0090-3515	
Yearbook of Surgery	Elsevier	0090-3671	
Journal of Soviet Mathematics	Springer-Verlag	0090-4104	
Poe Studies - Old Series	Wiley (Blackwell Publishing)	0090-5224	
Journal of Non-White Concerns in Personnel and Guidance	Wiley (John Wiley & Sons)	0090-5461	
Nuclear Data Current Sheets Section B	Elsevier	0090-550X	
NSPI Newsletter	Wiley (John Wiley & Sons)	0090-8118	
Coastal Zone Management Journal	Informa UK (Taylor & Francis)	0090-8339	
Art Psychotherapy	Elsevier	0090-9092	
Tulane studies in zoology and botany	Smithsonian Institution Biodiversity Heritage Library	0090-9246	
Bureau of Standards Journal of Research	National Institute of Standards and Technology	0091-1801	
DttP Documents to the People	American Library Association	0091-2085	
Browning Institute Studies	Cambridge University Press	0092-4725	
American Journal of Digestive Diseases and Nutrition	Springer-Verlag	0092-5640	
GPSA Journal The Georgia Political Science Association	Wiley (Blackwell Publishing)	0092-9395	
Toxicological & Environmental Chemistry Reviews	Informa UK (Taylor & Francis)	0092-9867	
Journal of Family Counseling	Informa UK (Taylor & Francis)	0093-3171	
Yearbook of Dermatology and Dermatologic Surgery	Elsevier	0093-3619	
OJST3102JournalTest	CrossRef test user	0093-4461	
Journal of Coated Fabrics	SAGE Publications	0093-4658	
Library Security Newsletter	Informa UK (Taylor & Francis)	0094-0216	
The American Cartographer	Informa UK (Taylor & Francis)	0094-1689	
Mathematical Transactions of the Academy of Sciences of the Lithuanian SSR	Springer-Verlag	0094-1719	
Selected Decisions and Selected Documents of the International Monetary Fund	International Monetary Fund	0094-1735	
The Bulletin of the Society of Pharmacological and Environmental Pathologists	SAGE Publications	0094-1824	
Journal of Peace Science	SAGE Publications	0094-3738	
Letters in Heat and Mass Transfer	Elsevier	0094-4548	
NOAA technical report NMFS SSRF	Smithsonian Institution Biodiversity Heritage Library	0094-4580	
Communications Society	Institute of Electrical and Electronics Engineers	0094-5579	
Land Use Law & Zoning Digest	Informa UK (Taylor & Francis)	0094-7598	
Journal of Purchasing and Materials Management	Wiley (Blackwell Publishing)	0094-8594	
ACM SIGMIS Database the DATABASE for Advances in Information Systems	Association for Computing Machinery	0095-0033	
IEEE Transactions on Vehicular Communications	Institute of Electrical and Electronics Engineers	0095-2503	
NACLA s Latin America and Empire Report	Informa UK (Taylor & Francis)	0095-5930	
Electrical Engineering	Institute of Electrical and Electronics Engineers	0095-9197	
Oil & Fat Industries	Springer-Verlag	0095-9502	
Oil & Soap	Springer-Verlag	0095-9510	
Journal of the American Pharmaceutical Association (Practical Pharmacy ed )	Elsevier	0095-9561	
Journal of Meteorology	American Meteorological Society	0095-9634	
Journal of Oil & Fat Industries	Springer-Verlag	0095-9774	
The Chemist’s Section of the Cotton Oil Press	Springer-Verlag	0095-9774	
Journal of the A I E E	Institute of Electrical and Electronics Engineers	0095-9804	
Journal of Clinical and Experimental Hypnosis	Informa UK (Taylor & Francis)	0095-988X	
Journal of Animal Behavior	American Psychological Association	0095-9928	
IRE Transactions on Ultrasonic Engineering	Institute of Electrical and Electronics Engineers	0096-1019	
IEEE Transactions on Audio	Institute of Electrical and Electronics Engineers	0096-1620	
IRE Transactions on Aeronautical and Navigational Electronics	Institute of Electrical and Electronics Engineers	0096-1639	
IRE Transactions on Aerospace and Navigational Electronics	Institute of Electrical and Electronics Engineers	0096-1647	
IRE Transactions on Broadcasting	Institute of Electrical and Electronics Engineers	0096-1663	
IRE Transactions on Product Engineering and Production	Institute of Electrical and Electronics Engineers	0096-1760	
IRE Transactions on Production Techniques	Institute of Electrical and Electronics Engineers	0096-1779	
IEEE Transactions on Aerospace and Navigational Electronics	Institute of Electrical and Electronics Engineers	0096-1957	
IEEE Transactions on Communications Systems	Institute of Electrical and Electronics Engineers	0096-1965	
IRE Transactions on Antennas and Propagation	Institute of Electrical and Electronics Engineers	0096-1973	
IRE Transactions on Automatic Control	Institute of Electrical and Electronics Engineers	0096-199X	
