issns	missing _issn	Q				
2158-6098,0162-6620	2158-6098	15757161
2410-0390,1993-047X	2410-0390	50808142
2215-3535,0258-6444	0258-6444	27726335
1748-295X,1748-2941	1748-295X	15745553
1639-4798,1280-8571	1639-4798	5735523
2162-397X,2162-3945	2162-397X	26853830
1949-0461,1084-1806	1949-0461	15751225
1969-6736,0751-7696	1969-6736	16672681
1544-452X,1092-6755	1544-452X	15751793
2048-4038,0263-6174	2048-4038	15753313
2162-4070,1045-1595	2162-4070	20312331
2055-0316,2055-0308	2055-0308	50815229
2055-0359,2055-0340	2055-0340	50815227
2169-0375,1536-1365	2169-0375	13362324
1572-8765,0929-1881	1572-8765	15760663
2251-7308,2228-5881	2251-7308	26853868
1314-7668,1313-9495	1314-7668	27723836
1314-7609,1313-1311	1314-7609	15758244
1687-8035,1687-8027	1687-8035	26842273
1864-8266,1864-8258	1864-8266	13361298
1539-4077,1463-4988	1539-4077	15746547
2151-0059,0001-2351	2151-0059	15765755
1710-3991,0001-771X	1710-3991	27718381
2059-6464,0001-9240	2059-6464	15767122
1588-2713,0002-1873	1588-2713	15750557
2366-097X,0002-3752	2366-097X	1210974
1614-0176,0002-6018	1614-0176	4654500
2325-5064,0002-7316	2325-5064	4742995
1097-4571,0002-8231	1097-4571	152040
1944-7981,0002-8282	1944-7981	1740221
1553-0795,0002-9106	1553-0795	26839888
2160-0562,0002-9157	2160-0562	15760320
2326-9197,0002-919X	2326-9197	4744238
2161-7953,0002-9300	2161-7953	2646273
1945-452X,0002-9599	1945-452X	465355
2161-8062,0003-097X	2161-8062	589209
0003-181X,0337-307X	0003-181X	3487551
2507-0290,0003-2468	2507-0290	15749776
1097-0185,0003-276X	1097-0185	24056056
1797-2442,0003-3847	1797-2442	5696319
2100-000X,0003-4088	2100-000X	15767436
2261-4427,0003-4134	2261-4427	15745226
1297-9651,0003-424X	1297-9651	27968332
1797-2450,0003-455X	1797-2450	15757044
1364-8594,0003-4983	1364-8594	26842813
2292-3586,0003-5459	2292-3586	15764760
1884-765X,0003-5505	1884-765X	27718207
1588-2748,0003-567X	1588-2748	772287
1608-3024,0003-6838	1608-3024	15746404
1934-9424,0003-701X	1934-9424	15745242
1589-486X,0003-8032	1589-486X	776367
2194-3958,0003-9233	2194-3958	635627
2198-0489,0003-9381	2198-0489	635641
2194-3826,0003-9497	2194-3826	635692
2507-038X,0003-9810	2507-038X	15756569
1661-4917,0004-069X	1661-4917	15760838
2300-2506,0004-0746	0004-0746	15766566
1923-1245,0004-0843	1923-1245	4787488
2217-8767,0004-1963	2217-8767	27720095
2325-5307,0004-3249	2325-5307	4796916
2111-4552,0004-3958	2111-4552	15756240
2235-5871,0004-4717	2235-5871	15755123
2053-051X,0004-6264	2053-051X	2319640
1470-6828,0004-8402	1470-6828	2196617
1440-1673,0004-8461	1440-1673	6295529
1839-471X,0004-8623	1839-471X	15762649
2325-6087,0004-9158	2325-6087	15759297
1467-8470,0004-9190	1467-8470	15757070
2046-2913,0004-9468	2046-2913	15766959
2201-4276,0004-9670	2201-4276	15767010
1943-6289,0005-3155	1943-6289	27719942
2376-7618,0005-772X	2376-7618	15766714
1521-3986,0005-8025	0005-8025	3014091
2194-9646,0006-1972	2194-9646	856594
2213-4379,0006-2294	2213-4379	2218162
1421-9727,0006-3126	1421-9727	2817272
1521-4037,0006-3452	1521-4037	27709368
1555-6654,0006-3509	1555-6654	15751782
2162-5387,0006-4246	2162-5387	7718432
2212-1676,0006-5196	2212-1676	1086260
2064-261X,0006-7768	2064-261X	27717954
2185-3835,0006-808X	2185-3835	13548534
2311-9284,0006-8241	2311-9284	5732717
1938-2979,0006-9698	1938-2979	21385091
1465-3087,0007-1226	1465-3087	15753399
2332-0486,0007-1773	2332-0486	15759437
1968-3766,0007-4403	1968-3766	2928064
1943-7730,0007-5027	1943-7730	26839743
1884-4170,0007-5124	1884-4170	27710834
2057-0570,0007-5167	2057-0570	15759939
1864-449X,0007-7704	1864-449X	871189
1938-288X,0007-9367	1938-288X	6400102
1918-8218,0007-974X	1918-8218	15752030
1969-6787,0008-0276	1969-6787	2933148
2456-6462,0008-0683	2456-6462	15759619
2162-8564,0008-1256	2162-8564	5020678
1918-1825,0008-3984	1918-1825	13452864
1480-3305,0008-4026	1480-3305	5746292
2292-8502,0008-4107	2292-8502	15762035
1920-2903,0008-4123	1920-2903	15765960
1911-9828,0008-4174	1911-9828	15749644
1715-3360,0008-4182	1715-3360	15749645
1918-1833,0008-4220	1918-1833	2714071
1879-1395,0008-4433	1879-1395	15757086
2375-2475,0008-5006	2375-2475	15754742
2332-1660,0008-5030	2332-1660	6296128
2470-6302,0008-6495	2470-6302	15817410
2165-5391,0008-7114	2165-5391	21385155
1782-141X,0008-9664	1782-141X	47009732
2386-1274,0009-0875	2386-1274	15757180
0973-063X,0009-4455	0973-063X	15746496
1523-8253,0009-4978	1523-8253	27716667
2034-6441,0009-6067	2034-6441	15761399
1973-4409,0009-725X	1973-4409	2535964
2038-4815,0010-0757	2038-4815	5777499
1212-6950,0010-0765	1212-6950	45134498
2151-6227,0010-4159	2151-6227	15758877
1090-2368,0010-4809	1090-2368	6294850
2196-9523,0010-5155	2196-9523	1123851
2330-9091,0010-7530	2330-9091	5165000
1555-7340,0010-7980	0010-7980	29043710
2299-551X,0011-4553	2299-551X	27710591
1572-9486,0011-4626	1572-9486	5413003
1850-1699,0011-6793	1850-1699	5799467
0976-464X,0011-748X	0976-464X	15764045
2498-6496,0011-8249	2498-6496	15767035
1365-4362,0011-9059	1365-4362	15752742
1869-7135,0012-0456	1869-7135	15758635
1439-4413,0012-0472	1439-4413	319640
2365-9521,0012-0936	2365-9521	1204385
2192-1482,0012-1045	2192-1482	5266306
2194-3842,0012-1223	2194-3842	1205540
2366-0651,0012-1363	2366-0651	1206085
1760-6136,0012-320X	0012-320X	15708766
1969-6965,0012-4273	1969-6965	15767598
2307-289X,0012-5415	2307-289X	27715813
2397-3498,0012-5806	2397-3498	15754682
1755-5248,0012-6543	1755-5248	26842203
2327-6096,0012-9623	2327-6096	29043986
1573-0808,0013-0451	1573-0808	4037915
2162-3163,0013-175X	2162-3163	15745212
1935-102X,0013-189X	1935-102X	5341257
2411-1333,0013-5380	2411-1333	15765464
1880-358X,0013-7626	1880-358X	15759488
1880-358X,0013-7626	1880-358X	15759488
2162-3236,0013-872X	2162-3236	13415266
1555-6689,0013-8738	1555-6689	47161189
2504-2564,0013-9432	2504-2564	26839796
1528-1157,0013-9580	1528-1157	5382969
2241-8512,0013-9696	2241-8512	27717452
1961-8700,0014-0481	1961-8700	3058353
2111-4579,0014-0759	2111-4579	1368412
2426-5543,0014-2115	2426-5543	27715784
1708-9069,0014-214X	1708-9069	15762812
2101-0056,0014-2166	2101-0056	3236586
2272-9011,0014-2239	2272-9011	15759969
1432-1033,0014-2956	1432-1033	1388041
2198-0470,0014-3502	2198-0470	1381202
2162-4291,0015-0754	2162-4291	21385353
1982-4688,0015-3826	1982-4688	15754303
2559-902X,0015-542X	2559-902X	1006144
1573-1170,0015-5551	1573-1170	5863479
1803-6465,0015-5683	1803-6465	15755868
1469-8315,0015-587X	1469-8315	27715794
1882-1006,0015-6426	1882-1006	26867048
0971-7625,0015-7325	0971-7625	24908300
1499-9315,0015-7546	1499-9315	15749714
1439-0337,0015-8003	1439-0337	15754302
2185-4610,0016-2590	2185-4610	15751004
2109-9642,0016-4127	2109-9642	15762215
1438-8804,0016-5751	1438-8804	26841999
2160-0228,0016-6928	2160-0228	15758743
1880-5973,0016-7002	1880-5973	15759667
1903-2471,0016-7223	1903-2471	27719111
2300-7362,0016-7282	2300-7362	15816918
2185-1719,0016-7444	2185-1719	27718629
2041-479X,0016-7649	2041-479X	3186960
1573-9708,0016-7746	1573-9708	15756021
1432-1149,0016-7835	1432-1149	27714954
2235-1523,0016-8998	2235-1523	27710998
2412-0650,0016-9900	2412-0650	27711004
2507-0401,0017-0461	2507-0401	15746714
2196-9043,0017-1298	2196-9043	1532225
1433-0393,0017-5994	1433-0393	1194076
1568-5594,0017-6559	1568-5594	27711038
1867-1535,0017-9604	1867-1535	1029592
1894-3195,0017-9841	1894-3195	11052884
1472-3441,0018-1544	1472-3441	26839692
2153-6414,0018-2133	2153-6414	5898711
1573-6865,0018-2214	1573-6865	24056063
2309-8392,0018-229X	2309-8392	27722316
2196-680X,0018-2613	2196-680X	315571
2083-599X,0018-3040	0018-3040	50815348
2101-0226,0018-4306	2101-0226	15759637
1939-9278,0018-5868	1939-9278	24031401
1958-5551,0018-6368	1958-5551	43459214
2271-1791,0018-7372	2271-1791	15708758
2195-0237,0018-9855	2195-0237	15708627
0019-0810,0019-0829	0019-0829	5974843
2498-6208,0019-1442	2498-6208	1095759
1884-0051,0019-4344	1884-0051	15816820
0975-007X,0019-4506	0975-007X	15766520
0973-0893,0019-4646	0973-0893	6020249
0019-5138,2394-7047	2394-7047	27711504
2199-7411,0019-5294	2199-7411	15764863
0019-5308,0971-7927	0971-7927	15749677
0973-7707,0019-5421	0973-7707	27720533
0973-7693,0019-5456	0973-7693	26842079
0974-9845,0019-5480	0019-5480	27724965
0975-7465,0019-5588	0975-7465	15290546
0974-7559,0019-6061	0974-7559	15757481
1541-5724,0019-7866	1541-5724	27723208
2162-271X,0019-7939	2162-271X	6027812
1777-5876,0020-0093	1777-5876	27718436
1952-4056,0020-0204	1952-4056	27711236
1439-4200,0020-0336	1439-4200	27711235
2421-0404,0020-0697	2421-0404	15751528
1522-709X,0020-6652	1522-709X	15752051
2052-465X,0020-7020	2052-465X	15754609
1568-5187,0020-7152	1568-5187	6051347
1878-4658,0020-7187	1878-4658	15754955
2050-4578,0020-7209	2050-4578	15752421
1543-5245,0020-7454	1543-5245	6051511
1557-9336,0020-7659	1557-9336	20979728
1465-2102,0020-7713	1465-2102	26827892
2504-2580,0020-8272	2504-2580	7002585
0973-0702,0020-8817	0973-0702	15755035
2520-2456,0020-8868	2520-2456	15752550
1522-2632,0020-9309	0020-9309	15749873
2053-4744,0021-0889	2053-4744	15761734
2056-4139,0021-1214	2056-4139	15757850
2047-2153,0021-1427	2047-2153	15764179
1883-2954,0021-1575	1883-2954	15746383
1613-0928,0021-1818	0021-1818	5261162
1869-5868,0021-2148	1869-5868	3155650
2047-9336,0021-2237	2047-9336	12403262
2412-8783,0021-3438	2412-8783	15763348
2185-8896,0021-3551	2185-8896	2203661
2366-049X,0021-4027	2366-049X	1678629
1880-7577,0021-4795	1880-7577	27719473
1348-673X,0021-4868	1348-673X	13733206
1880-6880,0021-4876	1880-6880	15746398
1882-4110,0021-4930	1882-4110	26842176
2186-3075,0021-5015	2186-3075	15751841
1882-6482,0021-5082	1882-6482	26842454
1884-2828,0021-5112	1884-2828	26842254
2186-1579,0021-5163	2186-1579	27711816
1881-1396,0021-521X	1881-1396	45115254
1884-1082,0021-5236	1884-1082	15751842
1881-1442,0021-5295	1881-1442	27711829
1347-1597,0021-7298	1347-1597	47487058
1095-9246,0021-8634	1095-9246	1895843
1465-5922,0021-8774	1465-5922	15763699
2078-6913,0021-8839	2078-6913	15766714
1934-998X,0021-8871	1934-998X	26839868
1097-4636,0021-9304	1097-4636	6294852
1537-5374,0021-9398	1537-5374	7743558
1541-5732,0021-9576	1541-5732	27711423
1881-1299,0021-9592	1881-1299	15759347
2152-4068,0022-0485	2152-4068	6295118
1097-010X,0022-104X	1097-010X	26842574
1097-010X,0022-104X	1097-010X	26842574
0975-8402,0022-1155	0975-8402	15750183
2185-5765,0022-1392	2185-5765	15754883
1471-8505,0022-1503	1471-8505	6295280
1814-2079,0022-1686	1814-2079	15751336
2056-6689,0022-2097	2056-6689	15750751
2058-3389,0022-2542	2058-3389	29043952
2053-7395,0022-2917	2053-7395	15765545
2167-6437,0022-2984	2167-6437	6295633
1097-4695,0022-3034	1097-4695	15716734
1881-1248,0022-3131	1881-1248	15764082
2348-621X,0022-3174	2348-621X	27717889
2042-7158,0022-3573	2042-7158	10532762
1884-2305,0022-3743	1884-2305	15754883
2163-6184,0022-4677	2163-6184	27711755
1572-8943,0022-5215	0022-5215	599850
1759-3999,0022-5266	1759-3999	15755920
1612-7064,0022-6920	1612-7064	1713995
1897-4279,0022-9032	1897-4279	2775982
1504-3002,0023-186X	1504-3002	10545771
2051-6177,0023-1940	2051-6177	15756523
2412-1339,0023-2149	2412-1339	27711850
2520-1778,0019-4670	2520-1778	15755186
2522-1396,0023-2130	2522-1396	27711849
1849-2177,0024-3477	1849-2177	27711902
2407-3733,0126-0421	0126-0421	50817439
2571-6662,0020-5915	2571-6662	26839570
2571-788X,0003-3189	2571-788X	27708995
2571-6638,1011-6966	2571-6638	27711247
2159-6417,0022-2216	2159-6417	15764733
2313-6294,0042-4609	2313-6294	27713778
2526-1347,0101-4366	2526-1347	27716274
0975-3397,2229-5631	2229-5631	15817742
2330-135X,0047-4134	2330-135X	15745353
2209-0916,1030-8385	2209-0916	15766687
1884-8079,0023-2556	1884-8079	15752370
1738-0006,0023-4001	1738-0006	21385511
1521-4079,0023-4753	0023-4753	15749990
2300-195X,0023-5172	2300-195X	11750972
1805-949X,0023-5954	1805-949X	15751631
1670-4959,0023-7213	1670-4959	26842530
1297-9694,0023-7302	1297-9694	15752727
1703-8804,0023-9054	1703-8804	15760472
2185-1352,0024-1008	2185-1352	27711897
2295-8991,0024-1415	2295-8991	15756667
2159-9610,0024-2527	2159-9610	15761884
1234-5678,0024-6115	1234-5678	6087100
1504-3061,0024-6980	1504-3061	11986853
2197-3849,0024-7421	2197-3849	1877757
1920-6356,0024-9041	1920-6356	3428669
2354-9114,0024-9521	2354-9114	15817705
2031-0226,0025-2603	2031-0226	2277967
2049-680X,0025-3359	2049-680X	3293267
2305-0667,0025-4606	2305-0667	15756820
2056-6328,0025-5572	2056-6328	7750656
2305-2880,0025-567X	2305-2880	6786833
1578-8989,0025-7753	1578-8989	26854009
2042-1818,0025-8024	2042-1818	15757954
1492-1421,0026-0452	1492-1421	15813961
2186-9057,0026-1165	2186-9057	15762340
2281-695X,0026-1424	2281-695X	15760960
2167-8634,0026-2005	2167-8634	15762274
2329-3233,0026-3184	2329-3233	15755836
2162-4372,0026-6493	2162-4372	2530335
1568-525X,0026-7074	1568-525X	1941227
2222-4319,0026-7937	2222-4319	6888740
1432-1874,0026-8925	1432-1874	15753424
1433-0474,0026-9298	1433-0474	1762971
2366-1968,0026-9301	2366-1968	1944088
1938-2987,0027-4100	1938-2987	21385585
0027-6014,1559-5455	1559-5455	15817768
2152-6842,0027-7630	2152-6842	15490097
1521-3803,0027-769X	1521-3803	15751861
1542-7811,0027-9013	1542-7811	27716116
1929-3208,0028-0798	1929-3208	948624
1504-3118,0028-0887	1504-3118	4045080
2161-4296,0028-1522	2161-4296	15816566
1338-4317,0028-2685	1338-4317	15761100
1568-542X,0028-2960	1568-542X	4764767
1175-8775,0028-8233	1175-8775	2293843
1175-8643,0028-825X	1175-8643	2531394
2199-4714,0028-8276	2199-4714	15755203
1175-8791,0028-8306	1175-8791	15754426
1175-8805,0028-8330	1175-8805	15765162
1884-0779,0029-0424	1884-0779	15753382
1884-2984,0029-0432	1884-2984	15753406
2186-506X,0029-0661	2186-506X	7039642
2224-7955,0029-1277	2224-7955	15749230
1504-2987,0029-2052	1504-2987	11992501
2047-7236,0029-4586	2047-7236	15758718
2406-4726,0029-4845	2406-4726	15754064
2300-2115,0029-540X	2300-2115	27712321
2047-9018,0029-6570	2047-9018	3346488
1561-5529,0029-7054	1561-5529	27718415
2307-2970,0029-9316	2307-2970	303922
2471-9390,0030-0950	2471-9390	15767108
1881-1736,0030-154X	1881-1736	26842095
2219-0635,0030-2465	2219-0635	15753261
2371-4654,0030-2953	2371-4654	15767540
1097-458X,0030-4921	0030-4921	3277097
2157-8745,0030-5316	2157-8745	15754251
2196-6877,0030-5383	2196-6877	15816826
2213-8617,0030-5472	2213-8617	3885813
2518-1882,0030-5987	2518-1882	26841816
2300-8423,0030-6657	2300-8423	11801015
2043-6866,0030-7270	2043-6866	2530656
2338-4786,0030-9311	2338-4786	27712531
2274-0333,0031-0247	2274-0333	21385709
2272-7639,0031-0387	2272-7639	15762524
1807-0205,0031-1049	1807-0205	15716698
2169-8546,0031-4587	2169-8546	15709983
2386-5822,0031-4749	2386-5822	15767480
1532-5962,0031-5117	1532-5962	15762491
1849-0964,0031-5362	1849-0964	15757808
1878-9080,0031-5850	1878-9080	2417375
1096-9063,0031-613X	1096-9063	1828807
2196-7008,0031-7985	2196-7008	1248438
1439-2607,0031-8027	1439-2607	15762115
2352-8230,0031-8035	2352-8230	7186166
2194-5845,0031-8175	2194-5845	2088297
1521-396X,0031-8965	1521-396X	2465041
1521-396X,0031-8965	1521-396X	2465041
1521-3943,0031-9252	1521-3943	2089412
1899-8526,0032-6267	1899-8526	15766156
2195-8599,0032-678X	2195-8599	15760075
2271-197X,0032-7638	2271-197X	3409088
1016-7365,0032-8332	1016-7365	7243201
1555-6425,0032-9452	1555-6425	15761376
1608-327X,0033-1732	1608-327X	15760048
2300-8466,0033-2143	2300-8466	15817336
2450-9361,0033-2356	2450-9361	4047496
2510-4187,0033-2623	2510-4187	15759541
2391-5854,0033-2674	2391-5854	11830678
2163-3452,0033-2933	2163-3452	15761787
0974-9861,0033-2968	0974-9861	25099420
2190-6238,0033-3042	2190-6238	1250962
2197-9952,0033-3131	2197-9952	15765928
1420-9136,0033-4533	0033-4533	15752511
1946-7214,0033-5649	1946-7214	26854016
1469-8994,0033-5835	1469-8994	2361372
2193-3405,0033-8230	2193-3405	2126419
1826-6983,0033-8362	1826-6983	26842258
1573-9120,0033-8443	1573-9120	2384706
1869-4179,0034-0111	1869-4179	27718361
2104-3884,0034-1258	2104-3884	3421968
1705-6225,0034-1282	1705-6225	27716635
2337-8824,0034-365X	2337-8824	6104807
1437-5613,0034-5466	1437-5613	29573668
2052-9449,0034-6373	2052-9449	15710137
2211-4866,0034-673X	2211-4866	15762047
2526-0375,0034-723X	2526-0375	27718877
1984-3747,0034-7272	1984-3747	27713037
2357-4100,0034-7426	2357-4100	15763164
2463-0225,0034-7434	2463-0225	27713063
1989-0656,0034-7639	1989-0656	23954966
2316-9141,0034-8309	2316-9141	27716178
1679-9836,0034-8554	1679-9836	18280469
1609-7394,0034-8597	1609-7394	27713207
2154-4794,0034-9631	2154-4794	15758964
1951-6207,0035-0753	0035-0753	15753615
2295-9009,0035-0893	2295-9009	15765353
1953-812X,0035-1326	1953-812X	16652646
2118-4445,0035-2209	2118-4445	15763525
2259-0285,0035-2217	2259-0285	15759575
1775-3864,0035-2349	1775-3864	7318984
2294-1088,0035-2381	2294-1088	3428649
2271-7005,0035-2624	2271-7005	16672690
2105-2964,0035-2942	2105-2964	3428726
2292-2512,0035-3086	2292-2512	27716976
1953-8111,0035-3337	1953-8111	23371318
2295-9696,0035-3620	2295-9696	15766804
1938-3401,0035-4902	1938-3401	3429657
2465-0765,0035-5607	2465-0765	27722251
2421-5864,0035-6212	2421-5864	15760127
2385-0833,0035-6875	2385-0833	3937995
2544-5200,0035-7707	2544-5200	11835070
2295-9017,0035-8002	2295-9017	15766331
1864-0737,0035-8126	1864-0737	2164877
1465-4008,0035-8533	1465-4008	7761617
1365-8711,0035-8711	1365-8711	1536490
2009-0048,0035-8991	2009-0048	27716122
2154-0098,0035-919X	2154-0098	6151615
2543-9170,0035-9629	2543-9170	27718640
1555-6255,0036-0295	1555-6255	15763352
2163-8195,0036-5637	2163-8195	15763370
1949-8594,0036-6803	1949-8594	15755444
1420-9144,0036-6978	1420-9144	15759569
1664-2848,0036-7281	1664-2848	15761722
1424-4004,0036-7486	1424-4004	1261652
1940-1302,0036-8121	1940-1302	27714966
1943-0930,0036-8423	1943-0930	2313730
2041-4951,0036-9276	2041-4951	15755125
2254-6227,0036-9764	2254-6227	7439227
1573-9260,0037-4466	1573-9260	4418306
2242-4075,0037-5330	2242-4075	15756033
2222-4327,0037-6795	2222-4327	7764766
2152-405X,0037-7996	2152-405X	15757798
2312-7198,0037-8054	2312-7198	15757237
2282-1228,0037-8747	2282-1228	21385839
1777-5469,0037-8984	1777-5469	2928102
1961-9049,0037-9085	1961-9049	26841921
1957-7850,0037-9166	0037-9166	3186863
2168-6351,0037-9271	2168-6351	4767825
1777-5817,0037-9409	1777-5817	4035500
2102-622X,0037-9484	2102-622X	4996832
2150-5926,0037-9808	2150-5926	15734614
1883-6526,0037-9980	1883-6526	3186948
1865-5580,0038-0164	1865-5580	2296972
2457-0257,0038-0229	2457-0257	27718539
2162-1128,0038-0237	2162-1128	15817029
2406-0712,0038-0318	2406-0712	15814320
1573-9279,0038-0741	1573-9279	15762828
1881-1418,0038-0806	1881-1418	15752597
2162-4534,0038-3872	2162-4534	5735555
1865-5203,0038-884X	1865-5203	1197035
1437-1049,0038-9145	1437-1049	18326530
2217-3986,0038-982X	2217-3986	27716455
1452-3701,0039-1743	1452-3701	15766970
1573-9325,0039-2316	1573-9325	12144457
2421-5856,0039-2944	2421-5856	15758082
1789-2422,0039-3266	1789-2422	15749314
2047-0584,0039-3630	2047-0584	15764603
1881-4751,0039-906X	1881-4751	15764478
2163-5684,0040-0599	2163-5684	18388223
1474-2286,0040-2982	1474-2286	7698869
1096-9926,0040-3709	1096-9926	15724446
2169-1304,0040-5639	2169-1304	3523724
1664-2864,0040-5930	1664-2864	26842198
1958-5578,0040-5957	1958-5578	20164831
1504-291X,0040-716X	1504-291X	19392471
2211-9434,0040-7496	2211-9434	21385908
1965-0604,0040-9375	1965-0604	3532092
2104-3663,0041-1868	2104-3663	15763668
2448-718X,0041-3011	2448-718X	5823610
2325-8101,0041-462X	2325-8101	15763338
1573-9376,0041-5995	1573-9376	15755587
2448-4873,0041-8633	2448-4873	27718991
1433-0571,0042-1111	1433-0571	27717971
1423-0399,0042-1138	1423-0399	26854025
1996-6652,0042-1294	1996-6652	1888743
2305-2872,0042-1316	2305-2872	15766395
1865-5211,0042-4498	1865-5211	1217253
2366-1992,0042-4501	2366-1992	2519281
2042-7670,0042-4900	2042-7670	7923713
2271-717X,0042-5605	2271-717X	47010234
2196-7121,0042-5702	2196-7121	1263938
2242-8828,0042-6806	2242-8828	15759109
1884-3433,0042-6857	1884-3433	26853999
2217-4753,0042-8469	2217-4753	24968995
2192-8762,0043-0978	2192-8762	1323951
1940-1310,0043-1672	1940-1310	7978327
1878-6669,0043-2288	1878-6669	15761453
0083-792X,0043-2431	0083-792X	7981920
1563-258X,0043-5341	1563-258X	26842108
2373-5112,0043-7956	2373-5112	7953955
2041-4811,0044-0604	2041-4811	15760987
1439-9148,0044-166X	1439-9148	27714021
2412-0723,0044-197X	2412-0723	27713973
2196-713X,0044-216X	2196-713X	186830
1864-2950,0044-2380	1864-2950	186647
1435-1293,0044-264X	1435-1293	15749455
2197-912X,0044-2674	2197-912X	15724473
1521-3870,0044-3050	0044-3050	15754599
1617-7134,0044-3158	1617-7134	8068626
1438-941X,0044-3220	1438-941X	27713928
1439-2615,0044-3301	1439-2615	186821
2196-7016,0044-3506	2196-7016	15753620
2235-1477,0044-3514	2235-1477	7550761
2365-7693,0044-3751	2365-7693	27718525
1439-9436,0044-6173	1439-9436	15752260
1467-6338,0044-6483	0044-6483	4689554
2104-3655,0044-8613	2104-3655	15767496
1834-562X,0045-0618	1834-562X	27716808
1521-415X,0045-205X	1521-415X	864461
2058-3400,0046-2039	2058-3400	27710657
2002-4509,0046-8444	0046-8444	50815153
1881-1302,0047-1879	1881-1302	27711805
2398-4961,0047-8105	2398-4961	15710010
1884-0108,0048-0444	1884-0108	15753386
2366-0481,0048-2129	2366-0481	663725
1451-9283,0048-5705	1451-9283	29043859
2202-932X,0048-671X	2202-932X	15763952
2240-2683,0048-7449	2240-2683	26867029
2191-0308,0048-7554	2191-0308	23582803
2250-639X,0048-7600	2250-639X	27712974
1989-0613,0048-7694	1989-0613	23954993
1663-4446,0048-8046	1663-4446	25383499
2057-4908,0048-8402	2057-4908	15758720
2073-9826,0049-2930	2073-9826	15762841
1758-1133,0049-4755	1758-1133	24056179
2190-6262,0049-8637	2190-6262	15766965
2365-953X,0049-8653	2365-953X	186704
1969-6663,0065-0536	1969-6663	28841183
2049-6494,0065-8995	2049-6494	15758711
2330-1880,0065-9991	2330-1880	2101371
2083-3563,0066-2232	2083-3563	39999930
1969-6760,0066-2399	1969-6760	1638544
2105-2948,0066-3085	2105-2948	15762328
1545-326X,0066-4219	1545-326X	567363
1545-2107,0066-4286	1545-2107	15750453
2117-539X,0066-4871	2117-539X	27921636
2173-6111,0066-5215	2173-6111	269477
