journal,issn
http://www.wikidata.org/entity/Q245165,1662-2456
http://www.wikidata.org/entity/Q257214,1594-9389
http://www.wikidata.org/entity/Q263028,0320-0108
http://www.wikidata.org/entity/Q263028,0360-0327
http://www.wikidata.org/entity/Q263028,1063-7737
http://www.wikidata.org/entity/Q263028,1562-6873
http://www.wikidata.org/entity/Q265120,0031-1855
http://www.wikidata.org/entity/Q265172,1540-8280
http://www.wikidata.org/entity/Q265542,0341-1281
http://www.wikidata.org/entity/Q269477,0066-5215
http://www.wikidata.org/entity/Q275033,1049-0434
http://www.wikidata.org/entity/Q282477,0261-3050
http://www.wikidata.org/entity/Q293827,0939-2661
http://www.wikidata.org/entity/Q301000,0355-6913
http://www.wikidata.org/entity/Q303396,0721-9415
http://www.wikidata.org/entity/Q308705,0015-9557
http://www.wikidata.org/entity/Q654606,0017-7873
http://www.wikidata.org/entity/Q4883266,0005-8580
http://www.wikidata.org/entity/Q4883266,1089-7089
http://www.wikidata.org/entity/Q4883266,1538-7305
http://www.wikidata.org/entity/Q7762584,0096-3771
http://www.wikidata.org/entity/Q28077383,1089-7089
http://www.wikidata.org/entity/Q28077383,1538-7305
http://www.wikidata.org/entity/Q10184,0174-4909
http://www.wikidata.org/entity/Q24338,0022-0094
http://www.wikidata.org/entity/Q24338,1461-7250
http://www.wikidata.org/entity/Q26182,0001-4966
http://www.wikidata.org/entity/Q26182,1520-8524
http://www.wikidata.org/entity/Q26197,1350-4177
http://www.wikidata.org/entity/Q26197,1873-2828
http://www.wikidata.org/entity/Q32180,1068-3380
http://www.wikidata.org/entity/Q32246,0305-4403
http://www.wikidata.org/entity/Q32246,1095-9238
http://www.wikidata.org/entity/Q33511,0035-791X
http://www.wikidata.org/entity/Q35438,0021-597X
http://www.wikidata.org/entity/Q39681,0734-7456
http://www.wikidata.org/entity/Q47287,1930-8965
http://www.wikidata.org/entity/Q696007,0342-8311
http://www.wikidata.org/entity/Q726402,0005-237X
http://www.wikidata.org/entity/Q734233,0014-3758
http://www.wikidata.org/entity/Q737134,1610-773X
http://www.wikidata.org/entity/Q749724,0045-6535
http://www.wikidata.org/entity/Q749724,1465-9972
http://www.wikidata.org/entity/Q749828,0184-6949
http://www.wikidata.org/entity/Q749724,1879-1298
http://www.wikidata.org/entity/Q751837,1437-8639
http://www.wikidata.org/entity/Q751847,1437-8639
http://www.wikidata.org/entity/Q776926,0278-6915
http://www.wikidata.org/entity/Q776926,1873-6351
http://www.wikidata.org/entity/Q777595,0479-611X
http://www.wikidata.org/entity/Q781831,1010-061X
http://www.wikidata.org/entity/Q781831,1420-9101
http://www.wikidata.org/entity/Q783630,0022-3808
http://www.wikidata.org/entity/Q783630,1537-534X
http://www.wikidata.org/entity/Q784948,0012-0804
http://www.wikidata.org/entity/Q786707,0948-6682
http://www.wikidata.org/entity/Q786800,0171-9807
http://www.wikidata.org/entity/Q792758,0259-9252
http://www.wikidata.org/entity/Q793981,1058-918X
http://www.wikidata.org/entity/Q796078,0040-1692
http://www.wikidata.org/entity/Q800259,0178-4528
http://www.wikidata.org/entity/Q811399,0067-4605
http://www.wikidata.org/entity/Q811408,0005-6650
http://www.wikidata.org/entity/Q811508,0341-2717
http://www.wikidata.org/entity/Q814465,1866-2447
http://www.wikidata.org/entity/Q814591,1437-8337
http://www.wikidata.org/entity/Q814929,0005-8114
http://www.wikidata.org/entity/Q815927,1861-9940
http://www.wikidata.org/entity/Q820352,2073-0136
http://www.wikidata.org/entity/Q821553,0949-5371
http://www.wikidata.org/entity/Q821844,0722-9399
http://www.wikidata.org/entity/Q823373,0149-4635
http://www.wikidata.org/entity/Q827097,1696-5108
http://www.wikidata.org/entity/Q829475,0341-4507
http://www.wikidata.org/entity/Q829480,0943-4275
http://www.wikidata.org/entity/Q831722,1614-8983
http://www.wikidata.org/entity/Q832174,0179-2776
http://www.wikidata.org/entity/Q844480,0144-5804
http://www.wikidata.org/entity/Q845647,0740-7459
http://www.wikidata.org/entity/Q845647,1937-4194
http://www.wikidata.org/entity/Q847858,0025-5874
http://www.wikidata.org/entity/Q847858,1432-1823
http://www.wikidata.org/entity/Q851422,0253-9543
http://www.wikidata.org/entity/Q856556,0067-8236
http://www.wikidata.org/entity/Q856594,0006-1972
http://www.wikidata.org/entity/Q860331,1022-3487
http://www.wikidata.org/entity/Q862148,0895-2825
http://www.wikidata.org/entity/Q864221,0264-6021
http://www.wikidata.org/entity/Q864221,1470-8728
http://www.wikidata.org/entity/Q867820,1533-4562
http://www.wikidata.org/entity/Q868378,0141-0857
http://www.wikidata.org/entity/Q871189,0007-7704
http://www.wikidata.org/entity/Q871189,1868-9027
http://www.wikidata.org/entity/Q871387,1367-2630
http://www.wikidata.org/entity/Q880308,1084-2462
http://www.wikidata.org/entity/Q883108,1862-5444
http://www.wikidata.org/entity/Q893337,0350-7440
http://www.wikidata.org/entity/Q897386,0006-8950
http://www.wikidata.org/entity/Q897386,1460-2156
http://www.wikidata.org/entity/Q904026,1552-4450
http://www.wikidata.org/entity/Q904026,1552-4469
http://www.wikidata.org/entity/Q918039,0068-113X
http://www.wikidata.org/entity/Q918039,1753-5352
http://www.wikidata.org/entity/Q918465,0895-3309
http://www.wikidata.org/entity/Q918465,1944-7965
http://www.wikidata.org/entity/Q926502,0008-7998
http://www.wikidata.org/entity/Q935823,1211-2119
http://www.wikidata.org/entity/Q951872,1041-2859
http://www.wikidata.org/entity/Q952554,0192-1940
http://www.wikidata.org/entity/Q954232,1841-2726
http://www.wikidata.org/entity/Q966531,1579-847X
http://www.wikidata.org/entity/Q968814,0937-4167
http://www.wikidata.org/entity/Q972896,0957-4484
http://www.wikidata.org/entity/Q972896,1361-6528
http://www.wikidata.org/entity/Q975634,1056-5493
http://www.wikidata.org/entity/Q978655,1467-6265
http://www.wikidata.org/entity/Q980796,0034-6527
http://www.wikidata.org/entity/Q980796,1467-937X
http://www.wikidata.org/entity/Q995251,1055-7660
http://www.wikidata.org/entity/Q1004394,0003-1186
http://www.wikidata.org/entity/Q1004412,0096-3402
http://www.wikidata.org/entity/Q1004394,1938-6958
http://www.wikidata.org/entity/Q1005567,0007-5868
http://www.wikidata.org/entity/Q1005565,0344-7634
http://www.wikidata.org/entity/Q1019995,1611-4280
http://www.wikidata.org/entity/Q1021387,0172-1895
http://www.wikidata.org/entity/Q1021387,0932-5409
http://www.wikidata.org/entity/Q1025912,0886-3032
http://www.wikidata.org/entity/Q1029592,0017-9604
http://www.wikidata.org/entity/Q1036274,0008-6606
http://www.wikidata.org/entity/Q1043104,1240-0068
http://www.wikidata.org/entity/Q1069462,0577-6287
http://www.wikidata.org/entity/Q1077999,0170-5148
http://www.wikidata.org/entity/Q1085036,0190-9215
http://www.wikidata.org/entity/Q1086260,0006-5196
http://www.wikidata.org/entity/Q1170039,0479-611X
http://www.wikidata.org/entity/Q3400472,1240-0068
http://www.wikidata.org/entity/Q279739,0971-7528
http://www.wikidata.org/entity/Q282477,1470-9856
http://www.wikidata.org/entity/Q285738,0967-5590
http://www.wikidata.org/entity/Q304369,1418-172X
http://www.wikidata.org/entity/Q306549,1605-2544
http://www.wikidata.org/entity/Q309135,1120-4982
http://www.wikidata.org/entity/Q315571,0018-2613
http://www.wikidata.org/entity/Q325957,0957-5243
http://www.wikidata.org/entity/Q325957,1573-7225
http://www.wikidata.org/entity/Q326137,0344-5704
http://www.wikidata.org/entity/Q326122,0923-7534
http://www.wikidata.org/entity/Q326137,1432-0843
http://www.wikidata.org/entity/Q326122,1569-8041
http://www.wikidata.org/entity/Q331832,0001-3374
http://www.wikidata.org/entity/Q332260,0959-8049
http://www.wikidata.org/entity/Q332277,1533-0028
http://www.wikidata.org/entity/Q332299,1525-7304
http://www.wikidata.org/entity/Q332260,1879-0852
http://www.wikidata.org/entity/Q338439,0714-0045
http://www.wikidata.org/entity/Q343155,0108-7673
http://www.wikidata.org/entity/Q343168,0001-6322
http://www.wikidata.org/entity/Q343168,1432-0533
http://www.wikidata.org/entity/Q354555,0004-7813
http://www.wikidata.org/entity/Q366921,0355-2047
http://www.wikidata.org/entity/Q369602,1933-6160
http://www.wikidata.org/entity/Q372419,0143-5221
http://www.wikidata.org/entity/Q372419,1470-8736
http://www.wikidata.org/entity/Q375835,0012-9682
http://www.wikidata.org/entity/Q375835,1468-0262
http://www.wikidata.org/entity/Q377629,0040-2699
http://www.wikidata.org/entity/Q383918,0002-0397
http://www.wikidata.org/entity/Q383918,1868-6869
http://www.wikidata.org/entity/Q385919,1465-4466
http://www.wikidata.org/entity/Q385919,1569-206X
http://www.wikidata.org/entity/Q389458,1103-9000
http://www.wikidata.org/entity/Q395351,1869-5434
http://www.wikidata.org/entity/Q400140,0973-1482
http://www.wikidata.org/entity/Q400140,1998-4138
http://www.wikidata.org/entity/Q406194,0891-3811
http://www.wikidata.org/entity/Q406194,1933-8007
http://www.wikidata.org/entity/Q427244,1160-6363
http://www.wikidata.org/entity/Q437765,0078-4516
http://www.wikidata.org/entity/Q443329,2499-0493
http://www.wikidata.org/entity/Q445723,1506-4026
http://www.wikidata.org/entity/Q465332,0002-9114
http://www.wikidata.org/entity/Q465332,1939-828X
http://www.wikidata.org/entity/Q470129,0340-2827
http://www.wikidata.org/entity/Q470373,0897-1706
http://www.wikidata.org/entity/Q472870,1617-3929
http://www.wikidata.org/entity/Q475987,0945-9995
http://www.wikidata.org/entity/Q480577,0179-261X
http://www.wikidata.org/entity/Q480577,0254-9948
http://www.wikidata.org/entity/Q482359,1993-3002
http://www.wikidata.org/entity/Q482484,1649-654X
http://www.wikidata.org/entity/Q489214,0194-6870
http://www.wikidata.org/entity/Q511735,0010-3330
http://www.wikidata.org/entity/Q532243,0935-3518
http://www.wikidata.org/entity/Q549578,1529-7497
http://www.wikidata.org/entity/Q556902,1576-3223
http://www.wikidata.org/entity/Q564423,0003-4916
http://www.wikidata.org/entity/Q564423,1096-035X
http://www.wikidata.org/entity/Q575001,0066-4774
http://www.wikidata.org/entity/Q576066,0003-5696
http://www.wikidata.org/entity/Q576049,0942-0398
http://www.wikidata.org/entity/Q576066,1613-0421
http://www.wikidata.org/entity/Q585287,0012-9631
http://www.wikidata.org/entity/Q593268,0406-9595
http://www.wikidata.org/entity/Q598789,0004-637X
http://www.wikidata.org/entity/Q598789,1538-4357
http://www.wikidata.org/entity/Q623114,0323-5610
http://www.wikidata.org/entity/Q634395,1439-4227
http://www.wikidata.org/entity/Q634395,1439-7633
http://www.wikidata.org/entity/Q635623,0066-6327
http://www.wikidata.org/entity/Q635645,1436-3038
http://www.wikidata.org/entity/Q635850,0391-7770
http://www.wikidata.org/entity/Q636535,0176-8522
http://www.wikidata.org/entity/Q636851,0342-734X
http://www.wikidata.org/entity/Q641657,1474-175X
http://www.wikidata.org/entity/Q641657,1474-1768
http://www.wikidata.org/entity/Q645573,0828-1785
http://www.wikidata.org/entity/Q651988,1120-5067
http://www.wikidata.org/entity/Q655104,1644-0919
http://www.wikidata.org/entity/Q656903,0008-7289
http://www.wikidata.org/entity/Q660750,1468-7240
http://www.wikidata.org/entity/Q660956,1013-0691
http://www.wikidata.org/entity/Q661388,0940-1334
http://www.wikidata.org/entity/Q661388,1433-8491
http://www.wikidata.org/entity/Q662963,0170-2041
http://www.wikidata.org/entity/Q664427,0350-4379
http://www.wikidata.org/entity/Q666651,0276-590X
http://www.wikidata.org/entity/Q680640,1548-7091
http://www.wikidata.org/entity/Q680640,1548-7105
http://www.wikidata.org/entity/Q680794,0009-5753
http://www.wikidata.org/entity/Q684704,0083-5463
http://www.wikidata.org/entity/Q684704,2195-9145
http://www.wikidata.org/entity/Q689101,1421-2811
http://www.wikidata.org/entity/Q703982,0004-2919
http://www.wikidata.org/entity/Q15708686,0108-7673
http://www.wikidata.org/entity/Q20829641,0004-637X
http://www.wikidata.org/entity/Q20829641,1538-4357
http://www.wikidata.org/entity/Q1051115,1124-8831
http://www.wikidata.org/entity/Q1051087,2037-089X
http://www.wikidata.org/entity/Q1051389,1865-6773
http://www.wikidata.org/entity/Q1071739,1545-9985
http://www.wikidata.org/entity/Q1071739,1545-9993
http://www.wikidata.org/entity/Q1071824,1471-0056
http://www.wikidata.org/entity/Q1071824,1471-0064
http://www.wikidata.org/entity/Q1078002,0945-828X
http://www.wikidata.org/entity/Q1085159,0935-9648
http://www.wikidata.org/entity/Q1085159,1521-4095
http://www.wikidata.org/entity/Q1091689,0031-6768
http://www.wikidata.org/entity/Q1091689,1432-2013
http://www.wikidata.org/entity/Q1092259,0022-1295
http://www.wikidata.org/entity/Q1092259,1540-7748
http://www.wikidata.org/entity/Q1054833,0733-5865
http://www.wikidata.org/entity/Q1109549,2161-6469
http://www.wikidata.org/entity/Q1114778,1123-7600
http://www.wikidata.org/entity/Q1119421,0009-4722
http://www.wikidata.org/entity/Q1119421,1433-0385
http://www.wikidata.org/entity/Q1122263,0937-9266
http://www.wikidata.org/entity/Q1125473,0048-4911
http://www.wikidata.org/entity/Q1127321,1755-263X
http://www.wikidata.org/entity/Q1136124,0898-5073
http://www.wikidata.org/entity/Q1137621,0176-1102
http://www.wikidata.org/entity/Q1139353,0097-8140
http://www.wikidata.org/entity/Q1152026,0947-9430
http://www.wikidata.org/entity/Q1156857,0070-251X
http://www.wikidata.org/entity/Q1171374,0931-6000
http://www.wikidata.org/entity/Q1176306,0133-249X
http://www.wikidata.org/entity/Q1192252,1611-2733
http://www.wikidata.org/entity/Q1192500,0005-9935
http://www.wikidata.org/entity/Q1196416,1619-1404
http://www.wikidata.org/entity/Q1197162,0049-223X
http://www.wikidata.org/entity/Q1198127,0084-2613
http://www.wikidata.org/entity/Q1203619,0340-8604
http://www.wikidata.org/entity/Q1203804,0340-8612
http://www.wikidata.org/entity/Q1204207,0421-2991
http://www.wikidata.org/entity/Q1205540,0012-1223
http://www.wikidata.org/entity/Q1206262,0012-1428
http://www.wikidata.org/entity/Q1211314,0342-7064
http://www.wikidata.org/entity/Q1214155,0023-5423
http://www.wikidata.org/entity/Q1216459,0039-1255
http://www.wikidata.org/entity/Q1217880,0342-3182
http://www.wikidata.org/entity/Q1233137,0015-4547
http://www.wikidata.org/entity/Q1240196,1860-2177
http://www.wikidata.org/entity/Q1248438,0031-7985
http://www.wikidata.org/entity/Q1248642,1868-6508
http://www.wikidata.org/entity/Q1254390,1478-811X
http://www.wikidata.org/entity/Q1254604,0248-4900
http://www.wikidata.org/entity/Q1254604,1768-322X
http://www.wikidata.org/entity/Q1255295,1554-8627
http://www.wikidata.org/entity/Q1255295,1554-8635
http://www.wikidata.org/entity/Q1256635,0934-2230
http://www.wikidata.org/entity/Q1259516,0906-7590
http://www.wikidata.org/entity/Q1259516,1600-0587
http://www.wikidata.org/entity/Q1261652,0036-7486
http://www.wikidata.org/entity/Q1262869,0016-7312
http://www.wikidata.org/entity/Q1268287,0079-9068
http://www.wikidata.org/entity/Q1269452,1895-6742
http://www.wikidata.org/entity/Q1275106,0341-4175
http://www.wikidata.org/entity/Q1280017,0012-9011
http://www.wikidata.org/entity/Q1280337,1265-5619
http://www.wikidata.org/entity/Q1282101,0012-9976
http://www.wikidata.org/entity/Q1285844,0002-5801
http://www.wikidata.org/entity/Q1286940,0350-3968
http://www.wikidata.org/entity/Q1287286,0016-5530
http://www.wikidata.org/entity/Q1296003,0500-6260
http://www.wikidata.org/entity/Q1303693,1866-0851
http://www.wikidata.org/entity/Q1311943,0013-2845
http://www.wikidata.org/entity/Q1315358,0454-4072
http://www.wikidata.org/entity/Q1316740,0017-1956
http://www.wikidata.org/entity/Q1318928,0934-8522
http://www.wikidata.org/entity/Q1321862,1618-484X
http://www.wikidata.org/entity/Q1323164,0733-5865
http://www.wikidata.org/entity/Q1324151,0122-2856
http://www.wikidata.org/entity/Q1324287,1111-0473
http://www.wikidata.org/entity/Q1325569,0211-8572
http://www.wikidata.org/entity/Q1325569,2013-9500
http://www.wikidata.org/entity/Q1327110,0013-5658
http://www.wikidata.org/entity/Q1328336,0304-405X
http://www.wikidata.org/entity/Q1329873,0028-6583
http://www.wikidata.org/entity/Q1334061,0046-1849
http://www.wikidata.org/entity/Q1342541,0946-3216
http://www.wikidata.org/entity/Q1346340,1867-7339
http://www.wikidata.org/entity/Q1346673,1085-9241
http://www.wikidata.org/entity/Q1351947,1617-9927
http://www.wikidata.org/entity/Q1365125,0017-811X
http://www.wikidata.org/entity/Q1367327,1068-1035
http://www.wikidata.org/entity/Q1368187,1435-4640
http://www.wikidata.org/entity/Q1369988,0720-0811
http://www.wikidata.org/entity/Q1376439,0930-3847
http://www.wikidata.org/entity/Q1377055,0344-8843
http://www.wikidata.org/entity/Q1380125,1618-2103
http://www.wikidata.org/entity/Q1383348,0946-2058
http://www.wikidata.org/entity/Q1384864,0870-1970
http://www.wikidata.org/entity/Q2339050,0375-9474
http://www.wikidata.org/entity/Q2339050,1873-1554
http://www.wikidata.org/entity/Q2648781,0002-5801
http://www.wikidata.org/entity/Q2837370,0550-3213
http://www.wikidata.org/entity/Q2837370,1873-1562
http://www.wikidata.org/entity/Q1365125,2161-976X
http://www.wikidata.org/entity/Q1389846,0025-584X
http://www.wikidata.org/entity/Q1389846,1522-2616
http://www.wikidata.org/entity/Q1404493,0943-3767
http://www.wikidata.org/entity/Q1404527,0723-5186
http://www.wikidata.org/entity/Q1404493,1433-6359
http://www.wikidata.org/entity/Q1406957,0257-3180
http://www.wikidata.org/entity/Q1410157,0562-0694
http://www.wikidata.org/entity/Q1413484,0025-2638
http://www.wikidata.org/entity/Q1417954,1436-1213
http://www.wikidata.org/entity/Q1422314,1027-3964
http://www.wikidata.org/entity/Q1425799,0133-2104
http://www.wikidata.org/entity/Q1428546,0170-5504
http://www.wikidata.org/entity/Q1434032,1617-0725
http://www.wikidata.org/entity/Q1437032,1869-6295
http://www.wikidata.org/entity/Q1438002,0933-1808
http://www.wikidata.org/entity/Q1438002,0933-1816
http://www.wikidata.org/entity/Q1439168,1605-4636
http://www.wikidata.org/entity/Q1439664,0340-6660
http://www.wikidata.org/entity/Q1440757,0015-9549
http://www.wikidata.org/entity/Q1451568,0343-7736
http://www.wikidata.org/entity/Q1454772,0940-7871
http://www.wikidata.org/entity/Q1455291,1866-0029
http://www.wikidata.org/entity/Q1458516,1330-9048
http://www.wikidata.org/entity/Q1476259,1613-6020
http://www.wikidata.org/entity/Q1478700,1038-8761
http://www.wikidata.org/entity/Q1482551,1389-2975
http://www.wikidata.org/entity/Q1483889,1214-6587
http://www.wikidata.org/entity/Q1484228,0340-1812
http://www.wikidata.org/entity/Q1486174,0017-7504
http://www.wikidata.org/entity/Q1496621,1863-1401
http://www.wikidata.org/entity/Q1497153,0721-278X
http://www.wikidata.org/entity/Q1499856,0947-4870
http://www.wikidata.org/entity/Q1503173,0016-7460
http://www.wikidata.org/entity/Q1503559,0399-8568
http://www.wikidata.org/entity/Q1504304,0004-3214
http://www.wikidata.org/entity/Q1507755,1300-0721
http://www.wikidata.org/entity/Q1507987,0028-7369
http://www.wikidata.org/entity/Q1514165,0016-8904
http://www.wikidata.org/entity/Q1516927,0342-5002
http://www.wikidata.org/entity/Q1524623,1424-8581
http://www.wikidata.org/entity/Q1524623,1424-859X
http://www.wikidata.org/entity/Q1529416,1618-8330
http://www.wikidata.org/entity/Q1532225,0017-1298
http://www.wikidata.org/entity/Q1533770,0027-4755
http://www.wikidata.org/entity/Q1535359,1097-6256
http://www.wikidata.org/entity/Q1535359,1546-1726
http://www.wikidata.org/entity/Q1538302,0947-0697
http://www.wikidata.org/entity/Q1541522,0031-2746
http://www.wikidata.org/entity/Q1541522,1477-464X
http://www.wikidata.org/entity/Q1542344,0017-310X
http://www.wikidata.org/entity/Q1545488,0434-6572
http://www.wikidata.org/entity/Q1550637,1814-3164
http://www.wikidata.org/entity/Q1554065,0036-7613
http://www.wikidata.org/entity/Q1559676,0015-0118
http://www.wikidata.org/entity/Q1562802,0930-3642
http://www.wikidata.org/entity/Q1565755,2193-3197
http://www.wikidata.org/entity/Q1567293,0023-0707
http://www.wikidata.org/entity/Q1568137,1356-6903
http://www.wikidata.org/entity/Q1569226,0035-1962
http://www.wikidata.org/entity/Q1569226,0750-9278
http://www.wikidata.org/entity/Q1573131,0001-2815
http://www.wikidata.org/entity/Q1573131,1399-0039
http://www.wikidata.org/entity/Q1573120,1471-0072
http://www.wikidata.org/entity/Q1573120,1471-0080
http://www.wikidata.org/entity/Q1575648,0723-0206
http://www.wikidata.org/entity/Q1576272,0342-1104
http://www.wikidata.org/entity/Q1587843,0945-6570
http://www.wikidata.org/entity/Q1588324,0239-2828
http://www.wikidata.org/entity/Q1588497,0014-0880
http://www.wikidata.org/entity/Q1599804,0022-3050
http://www.wikidata.org/entity/Q1599804,1468-330X
http://www.wikidata.org/entity/Q1605035,0340-6210
http://www.wikidata.org/entity/Q1609654,0018-0645
http://www.wikidata.org/entity/Q1616475,2363-8109
http://www.wikidata.org/entity/Q1620986,0018-2621
http://www.wikidata.org/entity/Q1624258,0214-3895
http://www.wikidata.org/entity/Q1626522,0049-6650
http://www.wikidata.org/entity/Q1628134,0863-4521
http://www.wikidata.org/entity/Q1630879,1012-7313
http://www.wikidata.org/entity/Q1634171,1392-7639
http://www.wikidata.org/entity/Q1636500,0960-3271
http://www.wikidata.org/entity/Q1636500,1477-0903
http://www.wikidata.org/entity/Q1636967,0031-630X
http://www.wikidata.org/entity/Q1640275,1439-1783
http://www.wikidata.org/entity/Q1646029,0177-3674
http://www.wikidata.org/entity/Q1659843,0014-2921
http://www.wikidata.org/entity/Q1661689,0019-7262
http://www.wikidata.org/entity/Q1662505,1047-7047
http://www.wikidata.org/entity/Q1667528,0046-8428
http://www.wikidata.org/entity/Q1669995,0933-1476
http://www.wikidata.org/entity/Q1678613,0342-5835
http://www.wikidata.org/entity/Q1678621,0171-9904
http://www.wikidata.org/entity/Q1686767,0014-200X
http://www.wikidata.org/entity/Q1690352,1029-1830
http://www.wikidata.org/entity/Q1692645,0044-3700
http://www.wikidata.org/entity/Q1692645,0258-1639
http://www.wikidata.org/entity/Q1695034,0956-5698
http://www.wikidata.org/entity/Q20830791,2193-3197
http://www.wikidata.org/entity/Q45134122,0301-0171
http://www.wikidata.org/entity/Q1659843,1873-572X
http://www.wikidata.org/entity/Q1661689,1613-0405
http://www.wikidata.org/entity/Q1662505,1526-5536
http://www.wikidata.org/entity/Q1667427,1430-175X
http://www.wikidata.org/entity/Q1667524,1869-6880
http://www.wikidata.org/entity/Q1671536,1420-519X
http://www.wikidata.org/entity/Q1678597,2366-2387
http://www.wikidata.org/entity/Q1684470,2041-8833
http://www.wikidata.org/entity/Q1685588,1393-998X
http://www.wikidata.org/entity/Q1695034,1758-7689
http://www.wikidata.org/entity/Q1706651,0898-865X
http://www.wikidata.org/entity/Q1709844,0022-1082
http://www.wikidata.org/entity/Q1709857,0022-2372
http://www.wikidata.org/entity/Q1709867,0377-919X
http://www.wikidata.org/entity/Q1709878,0004-5411
http://www.wikidata.org/entity/Q1709844,1540-6261
http://www.wikidata.org/entity/Q1709857,1545-1542
http://www.wikidata.org/entity/Q1709867,1533-8614
http://www.wikidata.org/entity/Q1709878,1557-735X
http://www.wikidata.org/entity/Q1709882,1729-6358
http://www.wikidata.org/entity/Q1711033,1542-1465
http://www.wikidata.org/entity/Q1718521,1611-440X
http://www.wikidata.org/entity/Q1719100,1862-7382
http://www.wikidata.org/entity/Q1721790,0948-3217
http://www.wikidata.org/entity/Q1740337,0938-3573
http://www.wikidata.org/entity/Q1743472,0023-1851
http://www.wikidata.org/entity/Q1744589,0016-8831
http://www.wikidata.org/entity/Q1744589,1756-1183
http://www.wikidata.org/entity/Q1750184,1862-4588
http://www.wikidata.org/entity/Q1752739,0032-6569
http://www.wikidata.org/entity/Q1763668,0149-2195
http://www.wikidata.org/entity/Q1763668,0892-3787
http://www.wikidata.org/entity/Q1763668,1545-861X
http://www.wikidata.org/entity/Q1763668,1546-0738
http://www.wikidata.org/entity/Q1763768,0027-4631
http://www.wikidata.org/entity/Q1763768,1741-8399
http://www.wikidata.org/entity/Q1767823,1436-9974
http://www.wikidata.org/entity/Q1773021,0029-8077
http://www.wikidata.org/entity/Q1773021,1834-4461
http://www.wikidata.org/entity/Q1775901,0887-9982
http://www.wikidata.org/entity/Q1779863,0893-4460
http://www.wikidata.org/entity/Q1780476,0723-7669
http://www.wikidata.org/entity/Q1780615,0720-8898
http://www.wikidata.org/entity/Q1783627,0179-0676
http://www.wikidata.org/entity/Q1789453,1019-8288
http://www.wikidata.org/entity/Q1790750,0038-6952
http://www.wikidata.org/entity/Q1792336,1437-2355
http://www.wikidata.org/entity/Q1803389,0343-1401
